stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,18.01,463.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.04,0,0,0,0,0,0,0
  5-6,43.76,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.41,0,0,0,22.18,0,0,0,0,0,0,0,0
  7-9,25.79,0,9.85,0,0,19.6,0,0,0,17.75,0,0,0,0,0,0,0,0,0,0,407.51,3.71,0,0,84.46,0,19.9,0,0,0,0,0,0
 10-12,0,0,5.59,0,0,45.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.32,0,0,0,47.89,0,0,4.76,5.19,0,0,0,0
 14-21,0,0,0,7.55,0,0.96,0,6.85,0,0,0,0,0.86,0,0,0,4.73,0,0,5.45,111.7,1.4,0,0,1.02,2.31,0,4.83,1.18,4.41,28.46,0,0
 24-34,0,0,0.59,1.73,0,40.12,0,5.34,0,0,0,0,0,0,0,0,26.8,0,0,6.5,402.31,0,0.75,1.21,0,3.67,0,0,0,0.63,94.19,1.71,0
 36-46,0,0,0,0.94,0,157.23,2.91,9.6,0.72,0,0,0,0,0,0,0,22.36,0,0,4.12,304.24,0,1.61,0,0,2.02,0,0,0,0,41.04,0,3.89
 48-58,0,0,0,2.36,0,158.79,0,3.64,0.51,0,0,0,0,0,0,0,16.23,0.52,0.5,2.13,164.68,0,0,0,0,5.65,0,0,0,0,15.71,0,0
 60-70,0,0,0,0,0,107.36,0,4.34,0.95,0,0,0,0,0.72,0,2.6,13.12,0,1.34,2.14,94.5,0,0,2.34,0,0,0,0,0,0,2.96,1.54,0
 72-82,0,0,0,0,0,25.66,0,4.04,1.38,0,1.25,0,0,0,0,0,17.31,0,0,0,27.17,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,29.44,0,2.96,2.06,0,0,0.73,0,0,0.78,0,11.61,0,0,1.21,21.83,0,0,0,0,0,0,0,0,0,0,4.2,0
 96-106,0,0,0,0.77,0,11.44,0,2.09,0.66,0,0,0,0,0,0,0,5.61,0,0,0.83,17.75,0,0,0.78,0,0,0,0,0.69,0,0,1.16,0
108-118,0,0,0,1.64,0,17.61,0,5.61,0.43,0,0,0.63,0,0,0,0,5.4,0,0,0.48,32.6,0,0,0,0,0,0,0,0,0,0,1.52,0
120,0,0,0,0,1.98,43.35,0,4.23,0,0,0,0,0,0,1.84,0,4.44,0,0,0,40.2,0,0,3.28,0,0,0,0,0,0,0,1.46,0
