stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,mesenchyme,mucous,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0,0,0,0
 14-21,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.59,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.84,0,0,0,0,1.66,0,0,0
 72-82,0,0,0,0,0,1.71,0,2.22,0,0.78,0.84,1.04,0,0,0,3.92,0,0,0
 84-94,0,0,0,1.02,0,0,0,2.92,0.8,0,1.14,0,0,0,0,0,0,0,0
 96-106,0,3.99,4.43,0,0,0,0,22.55,0,0,7.91,1.42,0,1.44,0,0,0,3.09,0.61
108-118,0,8.94,0,0,1.12,0,0.76,36.44,0.61,0,0,0,0,1,0.68,0,0.53,0,0
120,0,0,0,0,0,0,0,18.89,0,3.7,1.36,0,0,1.68,0,0,0,0,0
