stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,80.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,28.59,0,23.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.76,19.58,0,0,760.14,0,0,0,17.44,0,0,13.1,0,0,0,0,0
 14-21,2.31,0,0,0,1482.84,64.06,2.12,0,1.74,0,149.9,58.98,0,0,2.81,0,0,0,0,74.24,1.37,0,21.02,398.55,266.89,3.08,2.04,1884.36,0,6.59,2214.33,40.61,3.47,421.33,3237.28,0,0,5.91,0,0.85
 24-34,0,0,0,0,101.58,4.41,16.85,10.82,16.2,15.32,238.67,29.68,3.66,0,0,0,0,0,4.69,172.77,0,0,173.61,259.68,85.35,3.55,0,0,0,3.48,9.38,1.23,60.3,607.68,1699.14,0,0,83.99,0,0.77
 36-46,0,0,0,0,21.93,0,11.42,56.78,10.73,80.2,127.19,15.32,0,1.56,0,0,0,0,0.67,450.99,0,0,203.28,351.28,5.53,0,0,0,0,1.81,5.49,0.63,56.54,17.43,2023.09,0,0,28.04,0,9.89
 48-58,0,0,0,0,10.65,1.15,29.01,19.93,23.28,103.91,127.61,3.24,0,0.58,0,2.21,0.48,0.86,4.76,412.62,0,21.53,133.86,263.02,8.67,0.41,0,0,0,1.41,0,0.6,20.82,0,2202.69,0,0,11.21,2.64,1.65
 60-70,0,0,0,0,6.54,0,43.85,7.11,10.74,94.08,100.74,7.84,0,0,0,0,0,6.88,1.56,278.57,0,12.94,58.07,151.15,2.75,0,0,0,0,0,0,0,8.37,0,1881.47,0,0,23.05,3.03,22.45
 72-82,0,0,1.68,0,6.81,0,54.93,1.62,16.07,152.69,232.4,15.31,0,0.59,0,0.73,0,0,0.59,422.71,0.58,22.11,66.8,207.28,4.18,0,0.65,0,0,0,0,0,3.06,0,1575.85,7.28,0,12.24,10.92,10.49
 84-94,0,0,1.16,0,11.01,4.76,64.18,0,8.38,84.94,144.88,27.28,0,0,0,4.06,2.24,0,0,406.98,0.57,31.61,74.28,130.38,6.57,2.7,0,0,0,0.56,0,6.81,2.91,0,1059.21,0,0.77,21.39,7.71,8.77
 96-106,0,0,0,0,15.48,0,32.29,0.58,11.47,88.3,131.56,29.34,0,0,1.31,1.14,0,6.7,0,336.97,0.98,17.47,53.83,215.94,9.46,0,0,1.2,1.77,4.83,0,0.7,2.8,0,419.34,0,0,14.63,17.07,11.43
108-118,0,0,3.02,0,12.37,0,43.22,3.07,5.22,79.81,117.92,19.83,0,0,0,0,0,0,0,274.9,0,13.74,42.49,285.2,3.32,0,0,0,0,0,0,0,1.62,0,285.87,0,0,19.76,6.69,7.81
120,0,0,0,0,7.77,7.47,0,3.69,4.91,99.21,182.43,13.73,0,0,0,1.05,0,0,0,438.79,0,2.58,55,156.53,1.73,0,0,0,0,4.85,0,3.91,1.32,0,196.74,0,0,18.85,10.52,0
