stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,11.32,777.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0,0,0,0,0,0
  5-6,35.36,541.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.77,0,0,0,0,0,0,0,0,0
  7-9,21.24,12.51,14.67,0,0,31.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.12,3.27,0,0,99.87,0,12.58,0,0,0,0,0,0,0
 10-12,0,52.97,37.98,0,0,51.51,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0,607.33,0,0,0,189.39,0,11.03,0,29.23,0,3.51,0,0,0
 14-21,0,0,0.84,7.61,0.82,1.83,0,0,0.93,0,0,0,0.97,0,0,1.87,3.94,0,0,0,75.8,0,0,0,6.2,0,0,11.35,0,10.45,13.29,0,0,0
 24-34,0,0,0,1.64,0,5.06,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,45.59,0,1.66,0,0,0,0,0,0,0,4.24,0,0,0
 36-46,0,0,0,0,1.1,4.33,0,1.13,0,0,0.57,0,0,0,0,0,0.66,0.56,0,0,54.62,0,2.45,0,0,0,0,0,0,0,10.56,0,3.54,0
 48-58,0,0,0,0,0,7.12,0,0,1.35,0,0,0,0.61,0,0.53,0,1.96,0,0.56,1.9,63.59,0,0,0,0,0,0,0,0,0,23,0,0,0
 60-70,0,0,0,2.17,0,51.58,6.08,0,0,0,0,0,0.62,0,0,0,1.54,0,0,1.34,82.65,0,0,0,0,0,0,0,0,0,19.27,0,1.57,0
 72-82,0,0,0,0,0,28.32,0,0.82,1.99,0,0,0,0,0,0,0,0,0.58,0,1.61,96.86,0,0,0,0,0,0,0,0,0,27.85,0.71,0,0
 84-94,0,0,0,1.96,0,4.62,0,1.02,0.69,0,0,0,0,0,0,0,0.67,0,0.55,3.64,36.15,0,0,0,0,0,0,0,0,0,2.74,0,0.64,2.71
 96-106,0,0,0,0,0,7.68,0,1.51,7.95,0,0,0.63,0,0,0,0,8.31,0,0,0,46.67,0,0,1.07,0,0.6,0,0,0,0,14.34,0,0.7,0
108-118,0,0,0,1.19,0,7.27,0,1.18,1.51,0,0,0,0,1.26,0,0,10.57,0,0,0.95,47.02,0,0,0.52,0,0,0,0,0,0,8.67,0,0.73,0
120,0,0,0,0,1.53,1.17,0,0,0,0,0,0,0,0,0,0,12.34,0,0,2.54,29.27,0,0,0,0,0,0,0,0,0,5.96,0,0,0
