stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,46.73,222.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.86,0,0,0,0,0,0
  5-6,140.89,536.3,27.52,0,0,0,0,0,0,0,0,0,0,0,0,289.96,39.19,0,0,73.78,33.12,0,0,0,0,0,0
  7-9,122.78,20.79,61.44,0,0,16.54,0,0,0,79.39,0,0,0,0,0,317.34,110.63,0,0,602.86,0,0,0,0,0,0,0
 10-12,0,21.47,21.62,0,0,0,0,0,0,37.23,0,0,0,0,0,61.3,17.95,0,0,239.37,0,0,25.23,0,0,0,0
 14-21,0,0,0,0.87,0,0,0,0,1.29,0,0,0,0,0,2.04,2.8,1.32,0.85,0,0,0.89,13.57,0,1.77,3.06,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,3.11,0.78,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.18,0,0.63,0,0,0,0,0,0,3.57,0,0
 48-58,0,0,0,0,0,1.8,0,0,0,0.37,0,0,0.52,0,0,19.24,0,0,3.08,0,0.66,0,0,0,1.07,0,0
 60-70,0,0,0,0,0,2.67,0,0.69,0,0,7.02,0,0,0.85,0,7.85,0,0,0,0,1.22,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.79,0,0.52,0,0,0,0,8.57,0,0,4.12,0,0,0.5,0,0.78,0,0,0,0,0,0
 84-94,0,0,0,0,0,10.62,0,0,0,0,0,1.23,1.76,0,0,0,0,0,0.79,0,1.67,0,0,0,0,2.26,0
 96-106,0,0,0,0,2.25,0.67,0,0,0,0,0,0,1.36,0,0,4.52,0,0,0,0,0.56,0,0,0,0,1.43,0
108-118,0,0,0,0,0,0,2.49,0,0,0,0,0,1.66,0,0,3.26,0,0,4.35,0,0,0,0,0,0,0,0
120,0,0,0,0,0,8.32,0,9.86,0,0,0,0,0,0,0,8.22,0,0,0,0,0,0,0,0,0,0,4.27
