stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,76.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.23,72.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,22.5,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,71.96,8.59,0,0,22.24,0,0,0,0,0,0,0,0
 10-12,0,7.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.37,5.03,0,0,15.33,0,0,0,5.3,0,0,0,0
 14-21,0,0,1.07,1.98,0,0.9,0,0,0,0,0,0,0.93,0,1.07,2.12,0,0,3.66,8.05,2.51,0,0.8,0,0,2.6,0,5.88,5.97,0,0,0
 24-34,0,0,0,1.32,0,3.95,0,0,0,0,0,0,0,1.48,0,3.38,0,0,3.74,29.98,0,0,0,0,0,0,0.6,1.38,9.01,0,0,0
 36-46,0,0,0,0,0,0,0.75,1.41,0,0,0,0.94,0,1.46,0,2.94,0,0,0.64,18.17,0,0,0,0,0,0,0,0,3.57,0,0,0
 48-58,0,0,0,0,0,5.68,0,0,0.46,1.79,0,0,0,0,0,3.24,0.59,0,0,41.52,0,0,0,0,0,0,0,0,3.1,0,0,0
 60-70,0,0,0,0,0,8.57,0,1.09,0,0,0,0,0,0,0,0,0,0.99,0,7.6,0,0,0,0,0,0,0,0,0,3.34,0,0
 72-82,0,0,0,0,0,27.55,0,13.12,0,1.76,0,0,0,0,0,1.89,0,0.57,0,27.71,0,1.26,0,0,0.57,0,0,0,5.13,0,0,0
 84-94,0,0,0,2.98,0,7.66,0,5.15,0,0.58,1.85,0,0,0,0,1.23,0,0,0,8.24,0,0,0,0,0.59,0,0,0,2.2,0,0,2.83
 96-106,0,0,0,1.52,0,3.75,0,18.33,0,4.22,1.75,0,0,0,0.69,8.32,0,0,3,4.04,0,2.79,0.85,0,0,0,0,0,0,5.61,3.01,0
108-118,0,0,0,1.18,0,6.28,0,18.22,0.83,1.83,0,0,0,0,0,3.37,0,0,4.82,14.77,0,0,0,0,0.44,0,0,0,0,0.62,0,10.68
120,0,0,0,0,1.53,11.56,0,12.8,0,1.43,0,0,0,0,0,0,0,0,0,14.01,0,0,0,0,2.75,0,0,0,1.98,0,0,0
