stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,7368.85,135613.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4499.52,0,0,0,0,0,0,0,0
  5-6,7116.87,118067.04,0,69.88,0,0,0,0,0,0,0,327.8,0,0,0,0,0,0,0,0,0,1265.79,112.4,0,0,242.58,0,2327.27,0,0,0,0,0,0,0,0
  7-9,566.82,675.15,0,786.34,0,0,2756.4,0,0,0,0,887.98,0,0,0,0,0,0,0,0,0,23265.27,264.8,0,0,2726.77,0,127.4,200.33,0,12.75,0,0,0,0,0
 10-12,8.69,63.19,0,283.69,0,23.88,488.96,0,0,0,0,266.91,0,0,0,0,0,0,0,0,0,2415.99,171.92,0,0,805.94,0,6.59,57.77,0,202.59,0,0,0,0,0
 14-21,0,0,5.86,9.54,102.28,14.44,35.96,0.95,0,25.33,5.28,54.53,1.46,0,0,1.14,4.76,42.62,2.17,0,28.98,634.98,16.64,9.68,7.22,11.28,0,37.81,14.17,42.64,3.29,0,21.78,215.01,0,12.93
 24-34,0,0,4.51,0.65,11.18,0.92,14.96,0,0,5.85,0,4.48,0.62,0.6,0.59,0,0,23.1,2.41,0,14.16,180.06,0.66,4.84,2.08,0,0,6.22,0,0,0,1.16,0,49.95,0,50.46
 36-46,0,0,0,0,2.21,0,7.91,0,0,3.18,0,0,2.71,0,0,1.61,0,17.35,0,0,6.18,75.76,0,3.96,0,0,0,2.14,2.08,0,0,0,0,13.92,0,24.78
 48-58,0,1.29,0.61,0,4.95,0,13.74,0,0,2.93,0,4.2,1.38,0,0,0,2.65,19.45,0,2.45,3.62,27.51,0,0,0.47,0,0,0,0.65,0,0,0,0,11.89,0.42,23.53
 60-70,0,0,0,0,3.74,10.5,5.75,0,0,0.88,0,14.15,0,0,0,0,0,8.18,0,1.3,0.77,11.55,0,0,0,0,0,0,0,0,0,0,0,1.43,0,31.11
 72-82,0,0,0.88,0,1.71,0,12.3,0,0,0,0,6.44,1.27,0,0,0,0,10.63,0,3.26,1.96,3.92,0,0.67,0,0,0.8,0,0,0,0,0,0,0,1.88,32.83
 84-94,0,0,3.52,0,1.69,0,1.33,0,1.49,3.66,0,13.76,0,0,0.55,0,0,1.77,0,0.92,0.84,1.89,0,0,0,0,0,0,0,0,0,0,0,2.57,0,31.96
 96-106,0,0,1.19,0,0.6,0,1.39,0,0,0,0,1.32,0,0,0,0,0,9.33,0,0,2.22,1.7,0,0,0,0,0,1.52,1.8,0,0,0,0,2.23,0,42.79
108-118,0,0,0,0,1.14,0,0,0,0,0,1.59,0,0,0,0,0,0,15.51,0,0,3.56,3.68,0,0,0,0,0,0,0.48,0,0,0,0,2.25,0,35.78
120,0,0,0,0,0,0,0,0,1.67,0,2.35,0,0,0,0,0,0,14.3,0,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,8.77,0,21.82
