stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,68.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.99,105.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,26.99,0,0,0,0,0,3.27,0,0,0,0,0,49.54,4.52,0,0,7.32,0,0,0,0,0,0,0,0
 10-12,0,3.56,0,0,10.11,0,0,0,0,0,6.08,0,0,0,0,0,74.47,0,0,0,18.69,0,0,17.58,0,0,0,0,0
 14-21,0,0,0,2.98,4.03,0,0,0,0,0,0.99,0,0,4.58,0,1.79,28.05,0,0,0,0,0,1.19,0,1.68,8.62,0,0,0
 24-34,0,0,0,0.76,2.86,0,0,0,0,0,0,0,0,1.54,0,0.94,36.81,0,0,0,0,0.61,0,0,0,8.62,0,2.83,0
 36-46,0,0,0,0,4.12,0,0,0,11.11,0,0,0,0,7.42,0,1.78,24.93,0,0,0.67,0,1.47,0,0,0,8.05,0,0.68,0
 48-58,0,0,0,0,4.9,0,0,0,7.48,0,0,0,0,4.59,0,1.6,14.32,0,0,0.45,0,0,0,0,0,8.55,0,0,0
 60-70,0,0,0,0.57,9.7,0,0,0,10,0,0,0,0,7.66,0,0,28.23,0,0,0,0,0,0,0,0,4.22,0,0,0
 72-82,0,0,0,0,9.12,0,0,1.2,7.2,0,0,0.93,0,14.08,1.33,0.71,10.05,0,0,0,0,0,0,0,0,4.13,0,0,1.09
 84-94,0,0,0,2.31,4.16,0,0,0.94,5.25,0,0,0,0,11.02,0.62,0,14.22,0,0.89,2.48,0,2.76,0,0,0,0,0.69,0.57,0
 96-106,0,0,0,0,0.88,0,0,0,16.81,2.24,0,0,0,11.37,1.95,0.67,20.75,0.57,0.59,4.97,0,0,0,0,0,0,0,0,0
108-118,0,0,1.18,0.79,6.23,0.46,0.66,0,2.62,0.49,0,0,2.09,6.44,0,2.4,8.51,0.46,0,2.05,0,3.08,0,0,0,0.61,0,6.14,0.7
120,0,0,0,0,9.83,0,0,0,27.69,1,0,0,0,24.35,0,3.2,33.17,0,2.88,3.46,0,6.15,0,0,0,0,0,0,0
