stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,237.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.88,304.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.5,13.36,0,32.46,0,39.64,0,0,0,14.58,0,0,0,0,0,0,213.24,7.17,0,80.74,0,3.63,0,0,0,0,0,0
 10-12,0,0,0,9.29,0,26.19,0,0,0,17.31,0,0,0,0,0,0,180.36,0,0,107.41,0,0,4.94,4.19,6.08,0,0,0
 14-21,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0
 24-34,0,0,0,0,0.78,1.27,0,0,0,0,0,0,0,1.34,0,0.75,7.58,0,0,0,0,0.63,0,0,0,2.48,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,3.56,0,0,0,0,0,0,0,0,4.45,0,0
 48-58,0,0,0,0,0,1.06,0,0.41,0,0,0,3.71,0,0,0,0.46,21.59,0,0,0,0,0,0,0,0,1.39,0,0
 60-70,0,0,0,0,0,1.73,0,0,0.63,0,0.66,0,0,0,0,0,9.72,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.54,0,0,8.19,0,0,0,0,0,0,0,1.34,0,0,4.72,0,0,0,1.08,0,0,0,0,2.03,0,0
 84-94,0,0,0,0,3.82,4.79,0,0,0,0,0,0,1.7,4.68,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,0,0,6.12,0,1.84,0,0,0,0,0,0,0,1.37,1.5
108-118,0,0,0,0,0,1.02,0.51,0,0,0,0,0,0,3.1,0.65,0,7.31,0,0,0,0,0.94,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83,0,0,51.58,0,0,0,16.5,0,0,0,0,0,1.25,0
