stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,574.12,9650.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,987.72,0,0,0,0,0,0,0,0,0,0,0
  5-6,183.81,2643.29,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0,152.24,0,0,0,12.44,0,1402.73,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.68,0,0,4.34,0,0,11.69,0,0,0,0,17.79,0,0,0,0,0,0,0,0,0,0,0,181.68,15.76,0,0,48.62,0,137.67,61.7,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.44,20.99,0,0,0,0,3.01,0,0,0,0,0,0,0,0,0,0,0,411.99,11.88,0,0,14.79,0,12.06,13.59,0,29.07,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.06,183.01,0.94,3.02,0,0,0.93,0.82,0,0,0,56.01,0,1.12,2.09,0,4.48,4.24,0,4.95,19.89,0,0,1.73,0,0,258.47,7.24,12.3,2.1,1.23,4.2,6.66,0,0,0.89,0,0
 24-34,0,0,0,1.99,139.78,1.16,1.64,12.99,2.7,1.4,4.36,0,0,0,78.13,0,12.9,0,0,27.71,15.95,0,0,74,0.67,9,2.05,0,0,223.41,1.96,0,6.26,0,0.82,7.29,0,0,0,0,0.65
 36-46,0,0,0,0,96.46,0,7.06,19.03,1.25,0.64,4.66,0,2.54,0,44.86,0,2.49,0,2.63,13.32,10.18,0,2.17,87.99,0,9.98,8.7,0,0,324.43,0.65,0,5.92,0.58,0,2.25,0,0,4.09,0,0
 48-58,0,0,0,0,113.13,0,19.06,44.56,2.24,7.18,6.11,2.92,1.66,0,14.57,3.8,4.84,2.78,3.34,18.4,19.73,0,2.42,67.08,0,4.81,1.13,0,0,172.4,0,0,0,0,0,2.28,0,0,2.72,0,4.09
 60-70,0,0,4.68,0,156.01,0,32.87,47.65,12.05,21.67,17.6,8.18,0.7,0,8.69,0,24.24,3.99,21.91,66.69,36.13,6.12,2.21,47.47,0,2.17,3.28,0,0,274,0,0,0,0,0,7.33,4.46,0,7.53,0,5.41
 72-82,0,0,2.27,0,106.01,0.63,34.9,15.62,5.48,11.67,23.21,1.93,1.19,0.52,5.91,0,20.89,1.44,6.63,29.87,21.45,0,2.06,33.1,0.72,5.98,1.56,0,0,112.73,1.13,0,0,0,0,0.66,8.98,0,6.02,0,9.77
 84-94,0.62,0,0,0,199.64,1.93,28.79,37.13,3.2,9.02,80.78,0.99,0,0.75,11.56,0.62,15.28,5.67,8.43,32.5,31.95,0.94,0,61.24,0,13.29,1.57,0,1.31,295,0,0,2.98,1.43,0,0,27.49,5.4,0,0,0.55
 96-106,0,0,0,0,114.48,2.07,32.34,32.66,6.12,12.65,82.88,0,0.95,4.53,13.71,2.26,40.13,0,4.28,52.81,47.29,1.49,5.63,51.63,0.58,13.37,2.4,0,0,248.28,0,0,1.97,0,0,7.31,58.66,0,17.05,0,8.36
108-118,0,0,0,1.47,206.43,1.09,35.34,94.1,4.08,29.98,158.17,0,0.69,5.34,21.87,6.22,23.5,18.3,15.85,39.61,69.31,2.11,3.69,55.02,3.77,7.36,8.84,0,0,330.8,0,0,2.76,0,0,0,75.24,2.63,11.02,0,8.97
120,0,0,0,0,318.17,0,30.68,80.94,5.63,0,143.98,0,0,2.32,36.76,1.91,58.47,7.42,8.18,67.49,27.32,13.75,5.77,72.2,1.25,17.83,2.33,0,0,266.92,0,0,4.22,0,0,4.02,30.24,3.48,1.54,2.31,5.37
