stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,82.94,695.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,590.67,5201.78,0,49.38,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,2218.05,80.12,0,0,944.47,0,8.51,0,0,0,0,0,0,0,0,0,0,0
  7-9,517.05,557.5,0,201.64,0,0,0,50.59,0,0,0,0,0,67.64,0,0,0,0,0,0,0,0,0,0,994.99,586.27,0,0,20132.97,0,0,26.97,0,9.82,0,0,0,0,0,0,0,0
 10-12,4.89,198.09,0,119.49,0,0,0,32.86,0,0,0,0,0,31.52,0,0,0,0,0,0,0,0,0,0,398.7,114.48,0,0,10200.55,0,0,9.03,72.12,677.77,0,118.81,0,0,0,0,0,0
 14-21,0,0,0,12.77,67.95,140.7,0,434.07,0,0.88,0,2.1,0,7.17,2.28,0,0,0,0,0,899.62,0,0,2840.42,600.23,4.76,5.27,8.17,9.71,0,6.22,0,1808.9,0,3.08,6585.22,22.83,0,0,1.6,0,0
 24-34,0,0,1.05,1.32,32.05,8.39,0,1541.76,3.15,0.68,8.35,42.29,0,6.64,1.61,0,2.45,10.68,2.01,7.01,1525.86,3.7,5.38,2681.73,1381.64,13.63,6.49,5.21,0,0,12.54,0,17.02,7.13,6.33,521.78,125.6,0,0,21.36,0,0
 36-46,0,0,0,0,36.18,3.29,0,639.22,0.68,0,2.74,112.5,0,0,9.01,0,0.57,0,0,18.39,1892.98,0,46.55,775.23,658.63,9.17,0.69,2.47,0,0,26.79,0.65,9.9,0,0,0,296.66,0,13.41,2.57,0,0
 48-58,0.39,0,0,0,66.48,0,0,450.78,0,0,5.37,313.53,0,0,22.24,1.03,3.6,7.19,0,23.92,2674.18,0,83.85,602.7,912.77,12.81,13.44,0,0,2.87,0.38,0,0,0,0.94,0,354.37,0,0,1.97,9.26,18.19
 60-70,0,0,3.27,0,46.43,2.21,0,284.13,1.34,3.92,4.69,981.1,12.44,0,31.29,8.79,0,0,0,87.44,3307.51,1.7,219.57,496.51,895.58,22.66,4.76,0.57,0,13.47,7.74,0,0,0,0,0,242.94,0,80.4,5.27,79.79,23.7
 72-82,0,0,4.09,0,38.48,4.93,0,411.55,0,4.38,14.04,573.38,125.39,0.74,65.01,10.55,0,7.49,2.8,38.45,5041.56,0,335.42,420.7,567.08,14.96,1.23,0,0,25.36,0.49,0,0,0,0.54,0,117.4,8.39,129.75,122.78,230.98,3.91
 84-94,0,0,0,0,37.06,8.44,0,405.96,0.7,0.77,17.62,172.74,272.15,0,63.94,6.98,0.92,0,0,109.09,3355.81,0,447.54,299.24,731.7,40.98,1.71,0,0,0,15.32,0,0,0,0.63,0,98.93,0,179.57,76.44,177.46,0.74
 96-106,0,0,8.38,0,39.24,26.46,2.06,326.2,0.65,1.93,10.98,956.03,537.04,0,208.55,10.14,3.07,0,1.34,284.89,3310.48,0,372.59,206.27,753.19,39.56,7.66,0.8,0,52,12.78,0,0,2.28,0,0,81.78,1.63,90.6,238.35,232.92,10.32
108-118,0,0,0,0,48.44,4.12,1.58,291.87,0,6.6,8.89,649.85,716.78,0,68.37,7.55,1.38,2.64,0.57,128.45,3113.58,0,340.52,151.24,711.71,52.34,1.96,0.83,0,33.33,9.23,0,0,1.02,0,0,2.33,0.43,106.07,127.44,205.28,6.12
120,0,0,0,0,40.09,0,0,436.51,0,1.11,23.35,577.02,402.4,0,77.17,2.69,0,6.44,0,75.39,2618.71,1.16,343.2,158.68,678.62,89.91,0,0,0,28.6,4.71,0,0,0,0,0,73.22,0,22.96,244.46,216.02,0
