stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,20.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.53,0,0,9.35,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.87,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.73,0,0.97,0,0,0,0,0,0,0,0,0,0,1.8,0,0,1.35,3.94,0,0,0,0,0,1.05,0,7.79,0.99,0,0,0,0
 24-34,0,0.66,0.65,0.95,0,0,0,4.58,0,0,0,2.59,0,0,0,0,3.91,0,0,0,23.62,0,0,0,0,1.11,0,2.06,0,0.6,0,0,3.98,0
 36-46,0,0,0,0,0,1.45,0,0,0,0,0,8.29,0,0,0,0,1.46,0,0,1.3,21.87,0.56,0,0,0,0,0,2.67,0,5.42,0,0,2.84,0
 48-58,0,0,0.61,0,0,4.11,0.86,0,1.19,0,0,0,0,0,0,0,2.32,0,0,3.79,28.47,0,0,0,0,0,0,0,0,6.27,0,0,3.81,0
 60-70,0,0,0,0,0,11.38,0,1.03,0,6.55,2.26,0,0,0,0,0,4.6,0,0,2.17,118.63,0,0.78,0,0,0,0,1.12,0,22.92,0,0.73,8.61,0
 72-82,0,22.11,0,1.49,0,21.5,0,0,0,0,72.02,0,0,0,0,0,14.14,0,1.91,0.66,40.47,1.23,2.14,0,0,0,0,0.57,0,19.84,0,6.01,6.88,0
 84-94,0,35.6,3.83,0,0,6.66,0,0,0,1.46,172.14,0,0,0,0,0,6.31,0,0,0,45.93,3.34,0.59,0,0,0,0,0.62,0,0,0,0,3.59,0.57
 96-106,0,49.89,1.41,16.35,0,41.9,0,0,0,10.95,811.57,0,2.75,0,0.76,17.66,14.88,0,8.92,0,136.3,3.97,0.56,0,6.07,6.82,0,0,0,9.59,2.04,0,13.36,0.61
108-118,0,47.67,4.98,9.73,1.99,17.04,0.61,0,0,17.17,1558.76,0,0,1.1,1.22,7.32,30.49,2.75,0,0.56,136.81,0.47,0,0,0,8.5,0,0.61,0,1.94,0,0,0,0.83
120,0,95.54,15.67,2.63,0,26.03,0,1.03,0,9.54,1406.48,0,0,0,0,48.74,19.72,0,0,0,291.13,0,0,0,0,0,0,0,0,0,0,0,15.95,0
