stage,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,iridophores,mesenchyme,mucous,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85,0,0,0,0,0,0.97,0
 24-34,0,0,0.92,0,0,0,0,0,0,0,0.92,0,2.67,40.26,0,1.03,6.61,0,0.62,0,0
 36-46,0,0,4.88,0,1.25,0,0,0,0,0,5.77,0,2.96,33.56,0.68,0,1.83,0,0,11.16,0
 48-58,2.24,0,17.13,0,0,1.08,0,0,0,3.23,2.75,0,0.57,24.04,0,0,2.95,0,0,3.05,0
 60-70,9.38,0,16.09,0,0,8.15,0,7.24,0,0,2.63,0,0.8,21.74,0,0,0.87,0,0,10.74,0
 72-82,0,0,2.58,0,0.52,1.36,0,0,0,0,2.13,0,0,19.33,0,0,0,0,0,0,3.26
 84-94,2.07,0,0.99,0,0,1.23,0,0,0,0,6.64,0,1.13,19.58,0,0,2.04,0,0,3.78,0
 96-106,0,2.13,1.66,0,0,3.22,0,0,0,0,1.55,0,0,12.78,0,0,2.34,0,0,0,0
108-118,0.69,0,0,0,0,0,0,0,2.97,0.67,4.82,0.96,0,19.74,0,0,2.07,0,0,0,0
120,1.09,0,6.99,1.04,0,14.29,4.45,0,7.5,0,9.66,0,1.12,88.6,0,0,0,1.12,0,16.62,0
