stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,29.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.81,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.61,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.51,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0.86,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.35,1.44,0,0,0,1.34,0,1.12,0,0,0,0,0,11,0,0,0,0
 36-46,0,0,0,0,0,6.85,0,0,1.24,0,0,0,1.5,0,0,10.12,0,0,0,3.84,0,15.85,1.23,0,0,0
 48-58,0,0,0,0,0,5.43,0,0.57,4.1,0,0,0,4.56,0,0,6.57,0,0,0,2.69,0,8.35,3.27,0,0,0
 60-70,0,0,0.89,1.15,0,8.52,1.14,0,17.86,0,0,0,2.31,0,0,12.4,0,0,0,3.64,0,19.27,0,0,0,0
 72-82,0,0,5.12,2.98,0,15.77,0,0.78,20.01,1.61,0,0,32.9,2.62,1.38,18.13,0,0,0.79,7.25,0,38.46,0,0,0,1.13
 84-94,0,0,0.66,3.76,1.42,9.92,0,0,32.6,1.51,0,0.67,44.54,3.39,0,5.7,0,0,0,8.39,0,46,0,0,0,0
 96-106,0,0,1.56,4.01,6.16,26.36,9.27,4.88,25.2,1.51,0,0,74.06,20.87,0,26.55,0,4.02,0,15.58,0,63.94,3.32,0,0,0
108-118,0,0,1.8,5.26,0,5.03,0,5.6,32.36,2.46,0,0.49,113.33,3.12,0,28.76,0,0.85,0,10.07,0,85.77,0,1.6,3.37,0
120,0,0,0,0,1.61,21.9,0,2.25,70.83,2.57,2.19,0,78.31,0,0,9.73,1.96,0,0,31.72,0,74.92,0,0,0,0
