stage,axial,blastomeres,epidermis,fast_muscle,fin_epithelia,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,0,36.55,0,0,0,0,0,0,0,16.86,0,0,0,0
  5-6,7.25,78,0,0,0,0,0,7.41,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,38.8,19.44,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,21.39,14.36,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.03,0,0,1.11,0,0.99,0
 24-34,0,0,0,0,0,0,0,0.73,0,0.69,0,0,0,2.99
 36-46,0,0,0,0,0,0,1.81,0.78,0,0,0,0,0,2.37
 48-58,0,0,0,0.97,0,4.1,0,6.03,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,1.39,0,0,0,1.06,0,0
 72-82,0,0,0,0,0,0.52,0,3,0,0,0,0,0,0
 84-94,0,0,0,0,4.17,0.7,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0
108-118,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0
120,0,0,1.53,0,0,3.84,0,0,0,0,0,0,0,0
