stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.07,0,0,0,0,0,0,0,0,0,0,0,13.19,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.86,0,0,0,0,0,0,9.8,0,0,0,0,0,0,3.43,0,0,0,0,0,51.25,1.92,2.29,0,0,0,0
 24-34,0,0,0,0,1.41,0,0,0,1.28,8.69,0,0,0,17.06,0,0,10.56,1.82,0,0,0,0,80.65,5.69,0,0,10.93,0,0
 36-46,0,0,0,0,0.97,0,0,1.35,0,13.39,0,0,0,2.6,0,13.56,7.76,0,0,0,0,0,17.23,0,0,0,0,0,0
 48-58,0,0,0,0.37,0.43,0,0,0,0,15.84,0,0,0,2.88,0,1.58,6.59,0,0,0,0,0,4.19,0,1.11,0,2.74,0,0
 60-70,0,0,0,0,3.3,4.38,1.2,0,0,3.92,0,0,0,5.72,5.65,0.94,16.62,0,0,0,0,0,0.86,0,3.65,0,0,0,0
 72-82,0,0,0.65,9.55,0,10.63,0,0.98,1.28,1.61,0,0.81,0,19.31,1.33,0,6.09,0,0,0,0,0,0,0,0,1.78,0,1.24,0
 84-94,0,0,0,0,0,7.76,0,1.48,6.72,1.74,0,0,0,8.65,0.57,3.99,3.93,0,0,0,0.6,0,1.45,0,0,0,0,1.77,0.76
 96-106,0,0,4.65,0,0,12.38,0,0,3.41,11.63,0,0,4.34,8.56,4.08,1.04,0,0,2.2,0,0,0.75,5.08,0,0,3.08,0,0.72,0
108-118,0,0.47,0.73,0,14.65,15.42,0,2.13,5.26,9.62,1.39,0,0,13.2,2.64,0.77,13.9,1.25,1.84,0,0,0,1.89,0,0,0.53,0,0,0
120,0,0,1.28,0,0,2.73,0,0,1.33,0,0,2.07,0,6,0,0,33.14,0,0,0,2.67,0,0,0,0,0,0,2.57,0
