stage,axial,blastomeres,endoderm,eye,fin.epithelia,glial,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,31.45,70.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.8,97.13,0,0,0,0,0,0,0,0,0,9.77,8.22,0,0,0,0,0
  7-9,12.58,0,4.48,0,0,0,3.82,0,0,110.82,35.47,126.51,0,9.95,0,0,0,0
 10-12,0,16.94,5.89,14.76,0,0,0,0,0,348.25,36.52,141.38,0,0,0,18.06,0,0
 14-21,0,0,0,0,0,0,0,0,0,2.23,0,1.09,0,0,2.63,0,1.01,2.67
 24-34,0,0,0,0,0,0,0,0,0,4.97,0,0,0,0,0,0,0,4.31
 36-46,0,0,0,0,0,0,0,0,0.56,2.09,0,0,0,0,0,0,0,1.86
 48-58,0,0,0,0,0,0,0,0,0,6.89,0,0,0,0,0,0,0,0.49
 60-70,0,0,0,8.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,1.04,0,3.21,0,0,0,0,0,0,0,0.56
 84-94,0,0,0,0.96,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.63,0,1.56,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0,0,0,0
