stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,20.88,30.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,28.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,9.45,0,0,0,0,0,9.05,0,0,0,0,0,0,0,0,0,18.49,3.26,0,0,8.81,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.42,0,0,0,0,0,0,0,0,5.47,0,0,0,0,0,0,0,0,0,47.55,0,0,0,7.09,0,0,6.05,3.87,0,0,0,0,0,0
 14-21,0,0,2.75,0.86,0,0,0,0,3.83,0,0,0,0,0,0,0,0,1.21,0,0,54.29,0.94,0,0,0,0,0,0,0,32.63,0,0,0,0,0
 24-34,0,0,1.17,0,0,0,4.78,0,4.12,0,0,0,0,0,0,0,0,4.88,0,1.34,206.65,0,19.08,0.67,0,0,0,0,0,83.67,0,0,8.88,0,0
 36-46,0,0,0.59,0,25.18,0,0,0,7.45,0,0,0,1.66,0,0,0,0,12.84,0,1.6,637.5,0,32.16,0,0,0,0.69,0,0,199.12,0,0,0.89,0,0
 48-58,0,0,0.54,0,45,0,0.39,0,18.47,0.45,0,0,0,0,0,0,0,7.33,0,0.58,899.59,0,29.8,0,0,0,2.03,0,0,120.75,0,0,0,0,0.63
 60-70,0,0,0,0,67.37,0,0.63,9.06,24.9,0,0,0,0,0,0,0,0,5.04,0,1.56,1079.97,0,11.2,0,0,0,0,0,0,149.51,0,0,0,0,0
 72-82,0,0,4.65,0,97.55,0,0,0,12.95,0,0,0,0,0,0,0,0,3.62,0,0.92,1042.22,0,40.17,0,0,1.78,0,0,0,142.03,0,0,0,1.55,0
 84-94,0,0,7.93,0,82.47,0.57,0,0,7.17,0,0,0,0,0,5.69,2.93,2.47,16.87,0,0,993.18,0,37.1,0.72,0,0,0,0,0,106.87,2.75,0,4.74,0,0
 96-106,0,0,4.28,8.62,67.25,0,1.33,1.88,17.71,0,0,0,1.04,0,0,5.88,0,15.32,0.62,0,643.78,0,46.14,1.81,0,0,7.79,4.11,0,56.17,0,2.84,0.65,0.64,9.61
108-118,0,0,6.87,0.69,98.38,2.35,0.96,0,24.7,0,0,1.81,0,1.18,0,0,0,9.61,0,0,787.85,0,28.9,0,0,0,0,0,0,45.47,0.67,0,2.24,1.48,0
120,0,0,20.09,0,144.71,0,0,0,42.14,0,0,0,5.72,0,0,0,0,13.72,0,0,1617.77,0,60.53,9.28,0,0,0,0,0,98.41,0,0,2.09,0,0
