stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,41.15,872.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.49,0,0,0,0,0,0,0,0
  5-6,35.49,465.81,0,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,7.68,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.42,0,0,16.11,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.03,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,0,0,0,0,0,0.85,0.99,3.1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0,1.01,0,1.84,0,0,0,231.57,0,0,0,0,0,0,0,63.44,0,0,0,0
 36-46,0,0,1.55,0,0,0,6.79,0,0,1.01,0,2.9,0,0,0,0,3.38,0,0,0,642.37,0,0,0,0,0.81,0,0,53.85,0,0,0,0
 48-58,0,0,0,0,6.15,0,26.12,1.35,0,8.59,0,0.64,0,0,0,0,7.96,0,0,1.07,822,0,0,0,0.43,0,0,0,36.22,0,0,0,0
 60-70,0,0,0,0,1.25,0,126.03,0,0.83,9.52,0,0,0,0,1.26,0,3.49,1.09,0,0,1282.2,0,1.47,0,0,0,0,0,56.73,0,0,0,0
 72-82,0,0,0.93,0,1.4,1.39,197.5,0.5,3.79,31.68,0.93,0,0,5.36,0,0,25.32,0,0,6.7,1390.3,0,1.74,0,2.1,0,0,0,108.89,0.95,0.72,0.77,0
 84-94,0,0,1.65,0,4.86,0,154.62,2.66,15.52,29.28,0,0,0,0.55,0,0,12.57,0,0,0,908.98,0,1.65,0,0,0,0,0,37.91,0,0,0,0
 96-106,0,0,0.61,0,7.38,0,135.53,2.61,0,33.47,1.17,0,0,0,0,4.97,12.61,0,0,3.58,881.61,0,0,0,4.53,0,0,0,18.09,1.71,0,3.5,8.74
108-118,0,0,0.95,0,6.78,0,102.14,1.43,1.81,40.14,0,0,0.64,0,0,0.43,25.06,0,4.08,12.35,812.07,0.51,0,0,1.51,0,0,0,3.78,0,4.98,0,0
120,0,0,0,0,14.18,1.06,108.31,1.19,0,47.39,0,0,0,0,0,5.62,24.77,0,0,10.34,1106.49,0,0,0,0,0,0,0,2.02,0,0,0,0
