stage,endocrine.pancreas,endoderm,epidermis,eye,gut,ionocyte,liver,mesenchyme,mucous,mural.cell,neural,periderm,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,10.34,0,0,0
 14-21,0.82,2.19,0.88,0,0,0,0,0,0,0,7.13,0.91,0,0
 24-34,0,0.79,0.78,0,0,0,0.66,0.62,0.68,0,2.56,1.49,0.82,1.08
 36-46,0,0,0,0,0,0,0,0,0,0,2.26,0,0,0
 48-58,0,0,0,0,0,0,0,0.47,0,1.57,1.67,9.16,0,0
 60-70,0,0,0,2.29,0,0,0,0.93,0,0,0,2.77,0,0
 72-82,0,0,0,3.7,0.61,0,0,0,0,0,0.94,4.88,0,0
 84-94,1.46,0,1.69,0,0,1.52,0,0.62,0,0,0,16.66,0,0
 96-106,0,0,0.59,0,1.62,0,0,4.37,4.71,0,2.58,62.06,0,0
108-118,0,0,0.97,0,0.43,0,0,0.53,0,0,3,26.32,0,0
120,0,0,0,0,0,0,0,0,0,0,0,29.49,0,0
