stage,epidermis,erythrocytes,exocrine_pancreas,eye,glial,heart,melanocytes,mesenchyme,muscle,neural,pericytes,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle
 14-21,0,0,0,0,0,7.67,0,16.88,2.87,3.65,0,0.83,31.75,9.88,0.9,0
 24-34,3.19,0,0,0,0,25.69,0,29.42,1.39,11.59,0,0,1.73,0,0,0
 36-46,0,0,0,0,0,21.47,0,15.31,0,1.75,0,0,0,0,0,0
 48-58,0,0,0,2.37,0,3.91,0,13.11,1.29,11.08,0,0,0,0,0.62,0.61
 60-70,0,0,0,6.04,0,4.15,0,17.65,0,3.37,1.65,0,0,0,0.93,1.46
 72-82,0,11.2,0,0,1.55,1.37,0,22.35,0,12.44,0,0,0,0,0,0
 84-94,1.35,0,0,0.6,0,3.45,1.19,27.91,0,0,0,0,0,0,0,1.15
 96-106,0,1.18,0,0,0,5.42,0,17.44,0,1.18,0,0,0,0,0,0.67
108-118,0,10.71,0.53,0,0,0.8,0,21.62,0,1.76,0.91,0,0,0,0,0
120,0,0,0,0,0,5.11,0,7.97,0,0,0,0,0,0,0,0
