stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,14.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.57,0,0,0,18.65,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,5.17,0.99,0,0,0,0,0,0,0,0,0,0,0.83,0,12.02,0,0,0.84,0,0,3.77,2.72,4.74,0,0
 24-34,0,0,0,1.46,0,0,0.71,0,0,0,0,0,0,0,0,2.87,0,12.23,0,0,0,0,1.71,0,0,3.08,0,0
 36-46,0,0,0,0,0,0,4.31,0,0,0,0,0,0,3.72,0,1.32,0.62,13.97,0,1.8,0,0,0,0,0,2.81,0,0
 48-58,0,0,0,5.06,0,0,2.83,0,0,0.63,0,0,0,0,0,0.59,0,14.26,0,0,0,0,0,0,0,3.84,3.2,0
 60-70,0,0,0,0.69,0,0,7.4,0,0,3.47,0,0.76,0,0,0,3.33,0.58,28.59,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.5,0,0,0,0,6.88,0,0,1.66,0,0,0,0.54,0.99,10.44,0.92,23.91,0.73,0,0,0,2.36,0,0,1.51,0,1.51
 84-94,0,0,0,4.88,2.47,0,14.06,0,0,2.62,0,0,0,0,0,3.09,1.31,6.9,0,0,0,0,2.34,0,0,0,0,1.33
 96-106,0,0,0,0,0,0,3.13,0,0.89,2.12,0.97,0,0,0,0,6.98,2.29,12.91,0,1.65,0,0,0,0,0,0,1.74,0
108-118,0,5.51,0,4.39,0,0.78,8.4,0.43,0,6.62,0.73,0,0.47,0,0,9.35,3.1,6.15,0,1.37,1.1,0,0.44,0,0,7.21,1.03,0
120,0,0,0,1.8,0,0,6.34,1.25,0,2.2,0,0,1.23,0,0,16.82,2.94,12.25,0,1.45,0,0,0,0,0,0,2.4,0
