stage,blastomeres,endoderm,epidermis,eye,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,56.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.07,0,0,3.93,0,0,0,0,0,0,16.21,0,0,4.18,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,8.4,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.95,0,0,0,0,0,0,1.33,0,0,0,0,0,0.85,0,0,0,0
 24-34,0,0.7,0,0,0,0,0,0,0.87,1.22,3.84,0,0,0,0,0,0.67,0,0.83,0
 36-46,0,0,0,0,0,0.57,0,0,0,1.99,3.55,0,0,0,2.38,0,0,0,0,0.56
 48-58,0,0,0,0,0,0,0,0.55,0,0.51,1.97,0,3.92,0,0.38,0,0,0,0,0
 60-70,0,0,0,1.52,0,0,0,0,0,0,5.08,0,0,0,1.92,0,0.71,0,0,0
 72-82,0,0,0,0,0,0,3.49,1.89,0,0,0.88,0,0,0,4.33,0,0,0,0,0
 84-94,0,0,0,0,1.11,5.33,0,3.65,0,0,0,0,0,0,3.84,0,0,0,0,0
 96-106,0,0,4.28,0,0,0.58,0,2.8,0,0,0,0,0,0,13.42,0,0,0,0,0
108-118,0,0,0,0,1.52,0,0,2.64,0,0,1.82,0,0,0,2.07,0,0,1.21,2.22,0
120,0,0,1.91,0,0,2.85,0,0,0,0,1.58,1.15,0,0,1.01,0,0,2.24,0,0
