stage,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,hatching.gland,mesenchyme,mural.cell,neural,notochord,olfactory,periderm,taste,vasculature,visceral.smooth.muscle
  7-9,0,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.84,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.01,0,0,0,0,0,0,0,9.51,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,1.05,0
 36-46,0,0,0,0,1.34,0,0,0,0,5.53,0,0,0.87,0,0,0
 48-58,0,0,0,0,2.15,0,0,0,0,10.26,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,18.08,0,0,5.42,0,0,1.88
 72-82,0,0.56,4.05,9.29,0,1.04,0,0,0,24.32,0,0.74,0,0.8,0,6.24
 84-94,0,0,2.27,0,0,0,0,0,0.98,3.08,0,0,0,2,0,24.85
 96-106,0,0,1.98,1.41,0,0,0,1.48,1.69,11.07,0,0,1.47,8.91,0,14.14
108-118,1.4,0,0,0,0,0.73,0,0,0,2.42,1.26,0,0,0.89,0,9.78
120,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98,0,18.82
