stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,28.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.04,0,0,0,4.82,0,0,4.15,0,0,0,0,0,0,0,0
 14-21,0,0,1.23,8.42,3.43,8.07,0,0.89,0,0,0,1.6,4.43,0,0,0,0,0,1.19,1.35,0,0,67.75,0,0,0,1.8,2.95,1.09,131.38,0,1.09,18.82,0,0,0.85,0,0
 24-34,0,0,7.11,5.33,3.02,0,0,2.66,0,0,0,4.1,2.98,1.36,0,0,0,0,0,0,0,2.92,64.33,0.65,0,0,0,1.65,0,412.93,2.19,0,19.44,0,0,12.68,0,0
 36-46,0,0,0,0,0.87,0,0,0.74,0,0,0,5.74,0,0,0,0,0,1.14,0.8,0.85,0,0.92,23.3,0,0,0.75,0,1.98,0,355.23,0,0,9.7,0,0,1.88,0,0
 48-58,0,0,2.33,0,2.05,0,0,2.47,0,0,0,3.95,0,0,0,0,0,0,3.89,1.77,0,0.66,12.41,0,0,0,0,1.76,0,212.31,0,0,5.54,0,0.37,0.46,0,0
 60-70,0,0,2.87,0,0,0,0,4.52,0,0,0,2.77,3.15,0.69,0,0,3.49,0,18.97,5.13,0,0,16.57,0,0,0.91,0,0,0,309.03,0,0,2.07,0,0,5.37,0,0
 72-82,0,0,8.43,3.16,5.53,0,0,18.34,0,0,0,5.93,18.48,0,0.6,0,0.81,0,7.37,8.34,1.34,0.77,51.04,1.76,1.43,1.14,0,4.94,0,818.19,0,0,2.78,0,0,2.06,0,0
 84-94,0,0,14.37,10.17,0.6,0,0,25.16,0,0,1.42,11.55,29.98,2.31,0,0,0,0,33.77,10.93,0,5.47,70.54,0,0,0,0,0,0,2086.57,0,0,6.29,0,0,13.29,0,2.72
 96-106,0,0,31.87,13.11,2.79,15.81,0,19.81,0.68,9.05,2.03,11.63,47.85,0,0.98,0.82,0.6,0,35.3,12.78,0,0.7,55.57,0,0,0,1.2,8.19,0,1810.47,0,0,0,1.68,1.27,9.19,0,7.73
108-118,0,0,23.72,20.43,2.33,2.08,0,19.34,0.89,0,0,8.21,31.58,0,3.5,1.1,0,0,71.96,21.5,0,2.16,61.4,0,0,0.67,0,1.45,0,1991.99,0.53,0,3.55,0,0,5.92,0.74,4.4
120,2.37,0,34.64,8.61,3.22,2.15,1.71,24.98,0,4.65,0,40.7,33.25,0,1.11,0,0,0,49.87,8.33,0,1.04,52.47,0,0,6,0,5.12,0,1094.72,0,0,0,0,1.52,3.46,0,0
