stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.35,119.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,65.87,259.54,0,0,0,0,0,0,0,0,0,0,41.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,65.01,6.31,19.49,0,0,0,42.92,0,0,0,0,0,122.08,0,0,0,0,0,0,0,0,0,0,175.05,38.77,0,0,80.9,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.23,0,0,0,57.34,0,0,0,0,0,43.42,0,0,0,0,0,0,0,0,0,0,397.58,38.13,0,0,146.55,0,0,0,0,65.84,0,3.28,0,0,0
 14-21,0,0,0,4.41,5.05,0,9.44,0,0,0,2.87,1.19,2.09,0,0,0,0.96,0,0,0,6.44,0,2.53,142.38,3.85,0,0.87,0,0,0,0,19.11,1.86,20.86,47.61,0,0,0
 24-34,0,0,0.65,2.45,0.83,0,8.16,0,0,0,2.76,0,0,0.67,0,0,1.57,0,0,5.02,9.25,0,2.64,122.62,0,0.86,0.65,0,0,2.85,0,0,0,0.62,20.74,0,0,0.77
 36-46,0,0,0,0,0,0,23.54,0,0,0,11.5,0,0,0,0,0,0,0,0,3.31,6.49,0,1.06,85.29,0,0,0.83,0,0,0,1.11,0,0,0,17.95,0,0,43.06
 48-58,0,0,0,0,0,0,29.28,1.34,0,0.43,37.71,0,0,0,0,0,2.38,0,0,1.3,10.34,0.84,5.51,120.59,0,0,0,0,0,0,0,0,0,0,10.9,0.6,0,124.72
 60-70,0,0,0,0.71,0,0,15.54,0,0,0,204.75,0,0,0,0,0,24.76,0,0,0,47.4,0,0,79.13,0,0.68,0,0,0,0,0,0,0,0,2.51,0,0,194.08
 72-82,0,0,0,0,0.91,0,11.44,0,0,1.05,444.02,0,0,0,0,0,19.81,0,0,0,46.47,0.72,2.69,72,0,1.82,0,0,0,0.97,0,0,0,0,1.69,0,0,158.03
 84-94,0,0,0,3.97,0,0,41.33,0,0,1.12,460.02,0,0,0,0,0,16.98,0,0,0.95,87.29,0,2,39.82,2.16,1.12,0.97,0,0,1.2,0,0,0,0,0,1.28,0,152.07
 96-106,0,0,0,0.57,1.57,0,17.77,0,4.71,0,619.29,0.69,0,0,2.23,0.94,8.2,2.23,0,0,35.95,0.59,0.57,67.88,0,6,0.57,0,0.83,1.72,0,0,0,0,3.78,1.09,0.68,136.55
108-118,0,0,0,0,0,6.12,20.36,0,0,0,752.26,0,0,0,0.62,0,40.4,0,0,0,29.33,0,2.52,93.21,0.98,2.21,0,0,0,0.47,0.63,0,0,0,5.04,0.55,0,138.11
120,0,0,0,1.16,0,0,42.36,0,0,0,904.96,0,0,0,0,0,7.7,0,1.14,0,42.47,0,0,130.77,0,0,0,0,0,0,3.07,0,0,0,0,0,0,41.19
