stage,epidermis,eye,glial,ionocyte,muscle,neural,otic,periderm,spinal.cord
 14-21,0.82,1.1,0,0,0,3.26,0,0,1.09
 24-34,0,2.49,0,0,0,0,0,0,4.94
 36-46,0,1.1,0,0,0,3.23,0,0,12.77
 48-58,0,2.29,0,0,0,9.5,0,0,7.24
 60-70,0,13.01,1.2,0,0,1.06,0,2.89,3.29
 72-82,0,31.87,0,0,0,16.86,0,1.31,5.23
 84-94,0,11.11,0,0,0,3.07,0,10.93,1.28
 96-106,0,19.89,0,0,1.08,14.35,0,13.84,5.65
108-118,0,20.45,2.12,0.59,0,2.46,0.48,4.84,1.9
120,11.7,25.66,0,0,0,17.54,0,8.39,0
