stage,axial,blastomeres,endoderm,eye,hatching.gland,neural,paraxial.mesoderm,periderm,pgc,pronephros
  3-4,0,242.16,0,0,0,0,0,33.34,0,0
  5-6,21.86,271.45,0,0,0,0,0,15.11,0,0
  7-9,0,0,26.78,5.6,0,109.34,25.62,0,7.8,0
 10-12,0,3.64,7.45,0,3.03,47.8,39.81,0,0,3.51
