stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,heart,immune,liver,mesenchyme,mural.cell,neural,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.24,0,0,0,0,0,0,0,0,0,2.24,0,0,0
 24-34,0,0,0,0,0,0,1.24,6.29,0,0,0,3.51,0,0,0,0.63
 36-46,0,0,0,0,0,0,0,3.9,0,0,0,1.08,0,0,0,0.67
 48-58,0,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,13.08
 60-70,0,0,0,0,0,0,0,0,0,0,0,3.87,0,0,0,3.61
 72-82,0,0.84,11.03,0.68,0,0,0,9.55,2.82,0,0,9.1,0,3.22,0.56,19.37
 84-94,0,0,0.75,0.89,0,0,0,31.91,0,0,0,0,0,0,0,15.25
 96-106,0,0.75,14.62,0,1.3,0,0,60.34,0,0,0.84,12.55,0,0,0,21.17
108-118,0,0,15.93,0.54,0,0.9,0,48.22,0,0,0,16.77,0,0,0,10.32
120,0,0,19.89,0,0,0,0,154.97,0,4.74,0,17.84,0,0,0,8.05
