stage,endoderm,epidermis,eye,glial,gut,immune,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0.96,0,0.86,0,0.94,0,0,0,1.34,0,5.18,21.41,0,0,0,0,0.89,6.5,0,0,0
 24-34,0.79,0,2.35,0,0,0,0,0,2.74,0,0,39.28,2.84,0,0.97,0,0,7.3,0,0,0
 36-46,0,0,2.65,0,0,0,0,0,2.9,0,0,43.96,0,0,0,0,0,0,0,0,0
 48-58,0,0,3.86,4.12,0,0,0,0.41,5.22,0,2.37,50.72,2.1,0,0,0,0,12.2,0,0,0.63
 60-70,0,0,10.37,5.04,0,0,0,0,5.43,0,0,85.69,0,0,0,0,0,3.4,0,0,0
 72-82,0,0,47.84,0,0,0,0,0,9.7,0,0.66,76.27,2.92,3.76,0,0,0,1.86,3.3,0,0
 84-94,0,0,17.66,5.07,0,0,0,0,1.52,0,1.58,19.42,1.04,1.22,0,0.7,0,0,0,1.09,0
 96-106,0,1.56,16.09,6.46,0,1.18,0.78,0,12.7,3.48,0,30.39,0,1.13,0,0,0,0,0,0,0
108-118,0.74,0,9.7,6.45,0,0,0,0,2.71,0,0,36.39,1.25,0,1.85,0.78,0,0,0,0,0
120,0,4.58,11.33,0,0,0,0,0,2.38,0,3.2,14.45,4.31,0,0,0,0,1.34,0,0,0
