stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,9.45,461.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.54,479.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,25.68,10.91,0,0,0,11.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.77,7.8,0,0,40.47,5.76,0,0,0,0,0,0,0,0,0
 10-12,0,18.77,10.6,0,6.22,0,41.24,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,156.32,0,0,0,51.22,0,0,18.34,0,0,0,0,0,0,0
 14-21,0,0,1.94,23.55,6.23,0,1.83,0,0,0,3.02,2.51,0.98,0,0,0,0,0,0.94,0,0,12.87,108.1,1.98,0,0.98,1.64,4.85,20.76,0,1.74,11.42,21,0,0,0,0
 24-34,0,0,1.56,1.25,0,0,14.15,0,0,0,0.69,0,0,0,0,0,0.96,0.68,0,14.9,0.89,1.15,148.17,0,3.54,0,0,2.76,0,1.45,0,2.55,24.93,0,0,2.28,0
 36-46,0,0,0,8.1,0,0,9.41,0,8.05,0.75,4.74,0,0,0.72,0,0,0,0,0,15.15,0,1.93,100.23,0,0,0.64,0,0.67,0,1.21,0,0,26.31,0,0,1.41,0
 48-58,0,0,0,0,0,0,44.54,0,2.55,0.41,16.97,0,0,0,0.52,0,0,0,0,17.36,0,3.03,81.9,0,0.73,0,0,1.29,0,0,0,0,20.32,0,0,2.04,0
 60-70,0,0,0,15.45,0,0,24.5,0,0,0,11.76,0,0,0,2.65,0,0,0,0,15.46,0,0.93,50.56,0,0,0,0,7.1,0,0,0,0,10.29,0.77,0,0,0
 72-82,0,0,0,5.73,0,0,32.43,0,0.5,0,18.62,1.23,1.75,0,0,0,0,1.36,0,18.98,0,0,68.84,0,0,1.73,0,1.47,0,0,0,0,6.19,0.51,0.75,3.25,0
 84-94,0,0,0,7.98,0,0,14.13,0.57,0,0,8.89,0.71,2.8,0,0,0,1.6,0,0,9.29,0,1.22,11.15,0,0,0.64,0,3.46,0,1.09,0,0,2.53,0,0,5.09,0
 96-106,0,0,0,3.92,0,0,8.36,0,0.69,0,8.99,0,0,1.9,0,0.6,0,0,0.67,13.46,0,0,42.91,0,0,0.6,0,7.49,0,0,0,0,0,0,0,1.41,1.24
108-118,0,0,0,1.06,0,0.65,18.62,0,1.12,0.6,14.5,2,0,0,0,0,0,0,0,15.08,0,2.3,32.84,0,0,0.44,0,9.81,0,0,0,0,1.74,0,0,1.24,1.98
120,0,0,0,1.14,0,0,25.02,0,0,5.4,2.94,1.38,0,0,0,0,2.6,4.16,0,5.82,0,0,21.7,1.17,1.11,0,0,4.2,0,0,0,0,0,0,0,6.83,0
