stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,iridophores,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,74.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.92,0,0,0,0,0
  5-6,23.2,115.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.22,0,0,0,0,0
  7-9,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,38.98,11.24,34.64,0,0,0,0,0,0
 10-12,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,22.49,8.4,37.26,0,0,0,0,0,0
 14-21,0,0,0,0.81,1.69,0,0,0,0,0,0,0,1,0,1.28,0,0,0,0,1.08,0,0,0
 24-34,0,0,1.54,0,0,0,0,0,0,0.67,0,0,1.05,0,4.5,0,0,0,0,0,1.48,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,6.06,0,0,1.04,0,0,1.23,0,0
 48-58,0,0,0,0,0,0.53,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0.78,0,0
 60-70,0,0,0,0,0,0.59,1.86,0,0.74,0,3.59,0,2.68,0,15.83,0,0,1.02,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,2.45,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.03,0.61,8.55,0,0.84,0,0,0,0,0,0,1.95,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0.56,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.22,0,0.62,3.02,0,0,0,1.01,1.6,2.55,0,0,0,0.79,0,0,0,1.63
120,0,0,0,0,0,0,0,0,11.55,0,0,0,13.19,0,0,0,0,0,0,0,0,0,0
