stage,axial,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.34,0,0,0,0,0,6.49,0,0,0,0,0,0
 14-21,0,0.84,0,0,0.8,0,0,0,0,0,0,0,0,0,1.26,2.45,0,0.87,8.16,0,0,0,0,0,0,1.66,0.87,0,0,0,0
 24-34,0,0.6,0,0,1.08,0,0,0.9,0,0,0,0,0,1.41,0,0,0,0,5.97,0,0,0,0,1.14,1.95,0,2.03,0,0,0,0
 36-46,0,0,0,0,1.8,0,0.57,2,0,0,0,0,0,0,0,1.36,0,0,16.09,0,0,0,0,6.94,3.62,0,4.59,0,0,2.88,0
 48-58,0,4.53,0,0,9.07,0,0.7,4.52,0,0,0,0,2.62,0,0,8.83,0,1.53,27.01,0,0,0,0,0,9.73,0,1.14,0,0,0,0
 60-70,0,10.63,0,0,10.5,0,0,68.95,0,0,0,1.16,0,0,0,60.02,0,4.09,16.58,0,0,0,0,3.86,3.02,0,5.16,0,0.94,0,0
 72-82,0,17.94,0,0,28.05,0,0,89.53,0,0,2.21,0,2.85,0,0,73.49,0,9.54,61.5,0.53,0,0,4.1,0,1.95,0,3.34,0,3.96,0,0
 84-94,0.62,36.11,0,0.7,18.21,0.7,0,79.77,0,1.53,7.21,0,1.39,0,0,91.57,2.06,2.85,15.18,5.5,0,0,0.77,1.85,14.24,0,3.26,0,3.39,0,0.75
 96-106,0,45.32,0,0.8,21.85,0,1.21,110.67,1.9,0,7.23,0,4.79,5.65,0,67.97,1.69,11.85,32.94,2.55,0,0,16.67,0.65,6.65,0,6.43,0,4.16,0,0
108-118,0,56.41,0,2.39,23.64,3.18,0.94,160.13,1.16,0,7.66,0,11.12,6.34,0,92.49,4.56,9.76,19.68,5.67,0.86,0,27.03,3.41,8.25,0,2.39,1.01,0,3.25,0
120,0,86.14,1.46,0,54.66,1.39,0,468.24,0,0,5.41,7.23,2.53,0,0,181.51,8.42,28.05,38.37,10.64,0,7.79,12.66,0,8.34,0,11.49,0,0,4.33,0
