stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,64.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.44,0,0,0,0,0,0,0,0
  7-9,4.75,12.82,0,0,17.2,0,0,0,0,0,0,0,0,0,0,131.22,6.48,0,0,298.35,0,0,0,0,0,0,0,0
 10-12,5.51,14.64,0,7.97,10.28,0,0,0,0,0,0,0,0,0,0,41.81,6.68,0,0,432.94,0,4.19,10.47,0,13.09,0,0,0
 14-21,0,0,1.21,0,0,0,0,1.2,0,0,0,4.04,0,0,24.8,11.21,0,0,0,0,0,120.38,1.76,1.78,139.66,12.25,2.46,0
 24-34,0,0,0.63,0,0,0,2.9,2.41,0,0,0,11.76,0,0,28.27,22.56,0,0,0,0,13.44,3.09,0,0,55.38,14.38,4.41,0
 36-46,0,0,0,0,3.63,0,0,2.68,0,0,0,5.69,0,0,4.47,20.38,0,0,0,0,11.02,0,0.6,0,0,9.64,2.58,0
 48-58,0,0,0,0,13.87,3.55,1.81,2.27,0.55,0,0.38,3.5,0,0,3.12,16.52,0,0.77,0,0,0,0,0,0,0,14.84,5.21,0
 60-70,0,0,3.45,0,6.4,0,2.3,5.13,2.87,0,0,3.62,0,0,1.78,45.33,0,6.14,2.92,0,1.87,0,0,0,0,13.29,7.07,0
 72-82,0,0,0.5,0,10.95,0,12.43,8.71,1.83,0,0,8.49,0,1.45,1.96,32.56,0,1.29,0,0,0.71,0,0,0,0,4.15,12.45,0.78
 84-94,0,0,1.73,0,8.33,0,4.23,6.95,0,0,0,20.58,0,0,1.04,15.91,0,0,0,0,0,0,0,0,0,1.5,3.24,0
 96-106,0,0,2.58,0,8.21,0,0.69,6.86,0,0,0.85,5.89,0,0,0,19.59,0,0,0,0,9.33,0,0,0,0,2.5,16.44,0
108-118,0,0,5.23,7.05,3.29,0,7.73,17.11,0.95,0,0,3.87,0.71,0,0.73,15.51,0,4.02,0,0,4.47,0,0,0,0,8.61,29.5,0
120,0,0,1.85,0,5.83,0,0,16.2,0,1.35,0,0,0,0,0,59.03,0,0,0,0,1.22,0,0,0,0,17.53,16.79,0
