stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2.35,0,0,0,0,0,0,0,0,15.65,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0
 24-34,0.98,0,0,0,0,0,0,0,0,0,79.32,0,0,0,0,0,3.03,0,0,0.95,0,0.66,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,293.68,0,0,0,0,0,4.23,0,0,0,0,0,0,0,3.56,0,0
 48-58,0.41,0,0,4.7,0,0,0,0.53,0,0,348.11,0,0,0,0,0,3.99,0,0,1.81,0,0,0,0,4.53,0,0
 60-70,0,1.4,0,19.53,0,0,3.73,0,0,2.72,496.92,0,0,0,1.58,0,10.14,0,0,0,0,0,0,0,6.61,0,0
 72-82,0,0,0,4.25,0,0,3.42,2.58,0,0.81,668.16,0.61,0,0,3.48,0,10.6,0,0,0,0,0,2.99,0,18.48,0,2.33
 84-94,2.71,0,0,5.29,0,0,0,0,0,0,679.94,0,0,0,1.15,0.76,1.56,0,0,0,0,0,0,0,26.26,1.89,0
 96-106,1.22,2.56,0,7.33,0,0,0,2.36,0,0,524.93,0,0,0,2.58,0,30.13,1.85,0,1.37,0,0,1.88,0,46.33,0,0
108-118,2.71,0.83,0,20.08,0.61,1.56,0.72,0,0.64,0,437.29,0,0.42,0,5.01,0,9.79,0,0.66,0,0,0,0,1.16,47.86,0,0
120,24.61,0,14.33,0,0,0,0,9.79,0,0,1316.69,0,0,23.51,0,0,23.95,0,0,0,0,0,0,0,33.76,0,0
