stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,270.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.61,0,0,0,0,0,0,0,0,0,0
  5-6,35.69,781.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.65,14.47,0,0,8.27,35.4,0,0,0,0,0,0,0,0,0,0
  7-9,6.22,23.24,23.23,0,0,35.72,0,0,0,0,0,11.77,0,0,0,0,0,0,0,0,0,0,0,531.69,41.78,0,0,190.76,5.78,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,25.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.53,19.55,0,0,70.38,0,0,4.48,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.89,4.07,0.9,0,0,0,2.67,0,0,0,0,0,0,0,0,0,9.75,0,0,6.56,21.55,0,0,0,0.89,3.07,2.57,0,0,5.59,17.2,0,0,0,0,0
 24-34,0,0,0,10.96,0,10.88,0,9.37,2.05,14.46,0,0,1.85,1.73,0.72,0.63,6.38,0,0,30.13,0,0,21.63,177.83,8.49,0,7.6,0,13.61,0,0.74,0,2.23,51.17,0,0,2.63,0,0
 36-46,0,0,0,9.4,0,5.91,1.33,7.26,12.66,18.03,0,0,1.2,0,9.33,15.95,1.81,0,1.09,30.54,0,0,13.24,142.96,0,0,6.95,0,35.45,0,0,1.56,0,31.49,0,0,15.25,0,0
 48-58,0,0,0,19.62,0,12.95,0,3.07,0.42,52.3,0,0,0,0,0,2.3,0,1.04,0,37.27,0,0,6.8,77.73,0,0,25.12,0,28.7,0,0,1.12,0,30.59,0,0,16.49,0,4.6
 60-70,0,0,0,11.58,0,15.79,0,1.96,0.63,62.79,0,0,4.29,1.14,1.79,8.42,5.64,0,0,54.58,0,6.11,3.71,42.01,10.96,0,19.54,0,38.58,0,0,0,0,34.34,0,2.53,2.87,0,12.18
 72-82,0,0,0,1.9,0,8.94,0,4.23,0,56.18,0,0,2.31,2.12,1.73,2.68,5.87,0,0,50.96,0,9.95,1.17,29.79,0,0,21.62,0,7.9,0,0,0,0,9.41,1.34,1.91,10.26,0.93,0
 84-94,0,0,0,4.22,0,10.4,0,7.41,0,56.05,1.53,0,0,5.43,1.69,0,14.05,0,3.32,73.59,0,0.57,6.23,12.45,1.77,1.84,24.28,0,20.32,0,0,0,0,3.47,0.57,0,7.67,1.36,0
 96-106,0,0,0,1.8,0,2.31,0,0,4.14,18.01,2.75,0,0,3.09,0,3.46,0,1.27,1.3,30.19,1.47,0.69,3.68,13.27,0,0,0.67,0,16.93,0,0,0,0,8.51,0.62,0.83,2.79,0,0
108-118,0,0,0,11.45,0,13.89,0,0,0,11.69,1.41,0,0,8.74,0.57,0,3.03,0.81,9.13,20.16,0,0,0.55,18.62,0,0.57,17.48,0,9.94,0,0,0.57,0,2.4,0,2.67,6.31,1.07,0
120,0,0,0,42.4,12.97,35,0,4.47,1.83,166.42,0,0,4.06,26.71,3.42,8.39,8.37,0,0,61.25,1.47,0,4.98,116.17,0,0,53.44,0,14.01,0,0,0,0,15.19,6.72,6.95,20.48,0,0
