stage,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,visceral.smooth.muscle,xanthophores
 14-21,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.74,0.75,0,0,0,0,0,0,0,0,4.16,0,0,0,11.56,0,0
 36-46,0,0,0,0.56,0,0,0,0,0,0,0,0,0.8,0,0.82,8.99,0,0
 48-58,0,0,0,0,0,0,0,0,0,1.24,0.5,0,0,5.43,0,12.86,0,0
 60-70,0,0,0,0,0,1.43,0,0.72,0,0,1.1,0,0,5.38,0,10.66,0,0
 72-82,0,0.59,0,0,0.92,0,0,4.42,0,0,1.05,0,0,6.46,0,39.16,0,0
 84-94,0,4.31,0,0,0,0,1.01,0,0,0,2.85,0,0,2.34,0,77.47,0,0
 96-106,0,1.98,0,0,0,0,1.28,1.71,3.93,0,5.58,0,0,3.74,0,118.03,0,6.49
108-118,0,0,0,0,1.75,0,0,0,2.23,0,4.18,0,0,11.24,0,115.53,1.65,0
120,0,0,0,0,5.64,0,0,0,4.74,0,3.73,0,0,8.43,0,224.46,0,0
