stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,immune,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,4.8,0,5.61,0,0,0,0
 14-21,0,1.02,1.24,2.02,3.56,0,0,0,0,1.01,0,8.69,0,2.71,0,0,6.18,0.86,1.25,4.64,0,0
 24-34,0,0,0,2.39,1.68,0,2.11,0,0.68,2.68,0.68,7.28,0,3.22,1.35,0,0.74,0,0,1.52,0,0
 36-46,1.4,0,0,0,1.83,0,0,0,0,4.38,0.61,12.51,0,3.18,0,0,4.24,0,0,2.95,0,0
 48-58,0,0,0,0.62,0.47,0,0,0,0.51,2.56,0,8.54,0,3.32,0,0,2.37,0.42,0,0,0,0
 60-70,0,0,0,7.75,0,0,0,1.32,0,6.73,0,8.41,0,1.43,0.62,0,2.84,0,0,0,0,1.56
 72-82,0,0,0,10.29,2.91,0,0,0,0,4.93,0,10.06,0,0,0,0,0,0.63,0,7.28,1.16,0
 84-94,0,0,4.38,2.61,0,0,0,0,0,3.66,0,12.99,0,0.66,0,0,23.05,0,0,0,0,0
 96-106,0,1.58,0,2.61,1.49,0,0,1.7,0,5.23,0,6.63,0,0,0,0,16.37,0,0,0,0,0
108-118,0,1.96,0,2.58,0.7,1.5,0,10.31,4.04,0.79,0,0.89,0.69,0,0.65,0,12.15,0.42,0,0,0,0
120,0,0,0,0,10.93,0,0,0,0,0,0,34.34,0,0,0,0,7.01,0,0,0,0,0
