stage,blastomeres,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,iridophores,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.77,4.07,0,0,0,0,0,0
 14-21,0,5.62,0.99,0,0,0,0,0,0,0.88,0,1.07,3.28,0,0,0,1.75,3.01,3.45,0
 24-34,0,0.76,0,0,0,0,0,0,0,1.91,0,0.7,7.08,0,0,0,0,0,3.29,0
 36-46,0,0,0,0,2.1,0,0,0,0,8.15,0,5.09,9.9,0,0,0,0,0,5.39,0
 48-58,0,0,0,0.69,2.63,0,0.45,0,3.79,1,0,0.53,0.57,0,0,0,0,0,3.7,0
 60-70,0,0,3.21,1.68,0,0,1.8,0,0,2.43,0,0.91,0,0,0,0,0,0,11.73,0
 72-82,0,0,3.41,0,2.14,0,2.76,0,0.75,13.86,1.43,0.56,5.32,0,1.12,0,0,0,19.76,0
 84-94,0,0,0,0,5.24,0,0.97,0.7,0,22.9,0,2.49,1.04,0,0,0,0,0,17.65,0
 96-106,0,0,0,0,1.19,0.77,4.84,0,1.5,13.28,7.52,0,2.57,0,0,0,0,0,7.47,0
108-118,0,0,0,0.5,0,0,3.84,0.42,0,18.18,0.5,0.73,8.82,0,0,0.44,0,0,19.65,1.93
120,0,0,1.38,0,0,1,0,0,0,13.87,18.26,1.81,0,0,0,0,0,0,63.06,0
