stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,102,2272.3,0,0,0,0,0,0,0,78.59,0,0
  5-6,201.1,2957.87,0,0,0,9.89,97.79,0,38.93,31.78,0,0
  7-9,36.43,52.68,45.9,0,153.5,29.2,1519.3,26.44,429.44,0,0,0
 10-12,0,31.05,72.96,4.44,91.47,19.77,983.23,29.44,328.43,3.1,29.13,6.79
