stage,eye,fin_mesenchyme,immune,liver,mesenchyme,neural,pronephros,slow_muscle,spinal_cord,vasculature
 14-21,0,0,0,0,0.83,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.94,0
 36-46,1.34,0,0,0,0,1.31,0,0,0,0
 48-58,0.79,0,0,0,1.9,2.9,0,0,0,0
 60-70,2.01,0,0,0,1.21,0,0,0,0,1.11
 72-82,0.81,0,0,0,0.52,3.79,0,0,0,0
 84-94,0,0,0.65,0,0,0,1.04,0,0,0.84
 96-106,0,0,1.58,0.7,1.25,0,0,0.64,0,0
108-118,0,0.62,2.34,0,0,4.93,0,0,0,0
120,16.16,0,0,0,0,1.5,0,0,9.27,0
