stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,777.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.67,760.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.43,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.33,0,3.64,0,0,27.64,0,0,0,0,0,14.53,0,0,0,0,0,0,0,0,0,336.36,0,0,0,49.36,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.2,0,0,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2497.77,0,0,0,88.01,0,0,5.95,0,16.85,0,0,0,0,0,0,0
 14-21,0,0,0,2.41,1953.43,3.07,8.49,0,11.97,0,0,0,1.05,4.53,0,0,0,0,26.54,2.34,0,4.87,86.88,3.66,0,7.4,0,0,6.35,0,8.43,0,16.23,6.17,0,0,0,0,0
 24-34,0,0,0,0,1443.51,0,23.97,0,134.41,17.31,3,1.75,0,1.42,0,1.09,1.33,0,198.86,12.92,1.66,50.43,312.37,11.73,0.65,10.37,0,0,6.8,0,0,0,14.01,28.69,0,0,6.88,0,3.2
 36-46,0,0,0,0,641.17,0,2.95,0,176.91,26.83,38.43,0,0,9.44,1.95,0,0,0,215.21,6.13,9.14,57.54,406.56,22.9,2.66,11.33,0,0,6.7,0,0,0,0,51.84,0,0,2.93,0,0
 48-58,0,0,0,0,437.82,3.25,35.96,0,119.18,20.49,112.91,0,0,0.4,0,2.38,0,0,420.6,2.06,0.46,27.66,241.58,13.77,1.7,16.88,0,0,5.66,0,0,0,0,37.93,0,0.42,0.56,0,0
 60-70,0,0,0,0,239.27,0,20.02,0,106.81,18.36,215.7,0,0,0,0,1.79,1.06,0,592.11,6.77,0,20.98,93.79,23.65,1.33,11.85,0,3.84,0,0,0,0,0,17.97,0,9.34,0.87,0,0
 72-82,0,0,0.6,1.49,87.27,8.07,32.18,0.5,56.44,22.27,212.83,0,0,2.08,0.54,1.39,0,0,674.68,3.41,1.15,18.77,52.14,6.03,3.66,16.91,0,0,1.06,0,0,0,0,9.65,0.92,1.9,2.92,0.65,0
 84-94,0,0,0,0,151.02,5.89,41.04,0,59.82,12.33,167.66,0,0,0,4.44,1.42,0,0.95,567.9,0.88,0,11.2,31.24,15.75,3.42,11.76,0,1.59,5.09,0,0,0,0,6.76,0,0,0,0,0
 96-106,1.12,0,0,0,87.32,1.76,23.66,0.67,45.13,22.6,177.94,1.66,0,1.33,4.76,0,0,0,426.61,0.65,2.26,5.56,40.18,11.03,5.69,15.08,0,0,4.56,0.7,0,0,0,12.93,0,4.9,0,0,0
108-118,0,0,0,0,90.85,0,27.9,0.52,47.58,15.38,212.06,0.45,0,0,1.81,0,0,0,420.7,0,0,6.78,52.29,10.71,6.61,11.08,0,3.13,1.11,0,0,1.14,0,0.55,0,7.05,1.86,3.36,0
120,0,0,0,0,68.35,0,21.99,0,25.79,18.44,279.42,0,0,0,0,0,0,0,305.84,0,0,7.45,68.84,8.71,0,10.75,0,0,1.36,0,0,0,0,14.24,0,3.58,0,0,9.68
