stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,33.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.52,0,0,0,0,0,0,0,0,0,0,0,0,0,35.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,8.61,0,8.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.15,0,0,43.78,0,0,0,20.92,0,0,0,0,0,0
 14-21,0,0,0,0.87,0,0,0,0,0,0,0,0,6.21,0,0,0,1.88,0,0,21.25,11.1,0,0,0,0,0.93,340.42,226.34,2.23,0,0,0,0,0
 24-34,0,1.1,0,2.11,1.18,0,4.77,45.91,0,0,1.08,0,9.42,0.6,0.85,0,5.79,0,0,82.1,96.41,2.79,0,0,1.54,0,117,132.74,13.91,0,0,6.37,0,0
 36-46,0,0,0,0,0,0,4.85,79.77,0,0.63,0,0.95,2.4,0,0,0,5.41,0,0,26.2,43.86,0,0,0,0,0,108.28,16.22,7.73,0,0,0,0,0
 48-58,0,0,0,0,0,0,6.73,40.73,0,0.57,5.87,0,12.15,0,0,0,2.79,0,0,16.06,59.32,0,0,0,11.48,0,86.95,0,9.88,0,0.37,1.05,0,0
 60-70,0,0,0,0,0,0,15.2,67.09,4.88,0.59,2.46,1.11,5.21,0,0,0,4.34,1.1,0,30.03,28.63,0,0,0,3.25,0,32.22,0,5.41,0,0,0,0,0
 72-82,0,0,0,2.18,1.34,0,29.32,33.06,0,0,1.67,0,0.49,0.68,0,0,10.27,0,0,8.44,31.04,0,0,0,0,0,30.28,0,1.3,3.4,0,0,0.99,7.6
 84-94,0,0,0,0,0,0,15.67,60.61,0,0,2.24,1.42,2.85,0,0,0.68,8.34,0,0,11.6,12.29,0,0,0,0.91,0,33.23,0,1.35,0,1.15,0,3.28,0
 96-106,0,0,0,10.08,15.7,0,30.35,86.37,10.91,0,3.61,0.8,5.97,0,0.61,3.77,6.55,5.46,0,10.71,23.42,0,0,1.2,3.19,0,44.39,0,0.84,0,0,5.24,0,0
108-118,0,0,0.74,3.52,0,0.5,17.12,83.75,0.52,0.57,7.56,0,8.09,0,0,0,4.5,0,1.36,25.72,35.44,0,0,0,4.88,0,25.33,0,3.28,0,0,0,0.44,0
120,0,0,0,14.27,0,0,0,98.63,0,0,10.8,0,3.44,0,0,0,16.13,0,3.7,20.32,41.61,2.98,2.43,0,1.37,0,23.96,0,0,0,0,0,0,0
