stage,blastomeres,epidermis,eye,glial,gut,immune,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,60.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,9.68,0,0,8.08,0,0,0,0,0
 10-12,0,0,3.46,0,0,0,0,0,0,0,30.44,0,0,0,0,0,0,0,0
 14-21,0,0.83,0,0,1.33,0,0,1.07,0,0,24.19,1.16,0,0.86,0,0,6.35,0.83,0
 24-34,0,0,0,0.7,0,0,0.65,0,1.77,0.6,33,0.65,0.75,0,1.8,0.65,4.65,0,0
 36-46,0,0,4.3,0,0,0,0,0,1.27,0,11.39,0,0,0,0,0,3.75,1.54,0
 48-58,0,0,12.57,0.4,0,0,0,0,3.06,0,14.61,0,0,0,0,0,2.29,0,0
 60-70,0,0.72,9.07,0,0,0,0,0,4.61,0.79,9.95,0,0,0,0,0,1.49,0,0
 72-82,0,2.17,7.53,0,0,0.65,0,0,0.97,0,0,0,1.08,0,0.55,0,0,0,0.59
 84-94,0,0,7.17,0,0,0,0,0,0.66,0.7,0.62,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,3.57,0,10.5,0,0,0,0,0,0,0,0
108-118,0,0,1.1,0,0,0,0,0,0.73,0,1.35,0,0,0,0,0,0,0,0
120,0,0,0,12.55,1.42,0,0,0,4.43,0,0,0,0,0,0,0,0,3.45,0
