stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,72.99,824.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.45,0,0,0,0,0,0,0,0,0,0,0
  5-6,43.53,683.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.7,0,0,0,24.42,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.21,22.07,17.46,0,0,46.33,0,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0,451.64,39.91,0,0,397.32,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,16.11,7.5,0,0,57.42,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0,487.52,0,0,0,239.99,0,0,3.78,4.19,43.75,0,0,0,0,0,0,0,0
 14-21,0,0,0.81,0.83,0,3.08,0,0,0,0,0,0,0,0,0,0,0,0,2.57,0,3.39,25.26,0.87,0,0,0,0,0,0,6.45,0,2.66,6.79,7.07,0,0,0,0,0
 24-34,0,0,0,3.46,0,4.59,0,0.71,0.69,1.02,0,0,0,0,0,0,0,0,6.01,0,6.1,100.89,0,0,1.59,0,0,0.74,0,0,0,0,2.65,22.76,0,0,4.3,0,1.76
 36-46,0,0,0,3.17,0,16.23,0,0,0.82,11.39,0,0,0,0,0,0,0,0.91,9.06,0.57,3.5,22.26,1.03,0,0,0,0,6.97,0,0,0,0,0,29.77,0,0,1.11,0,0
 48-58,0,0,0,1.35,0,16.5,0,0,0,15.12,0,0,0.55,0,0,0,0.58,0,16.6,0,2.24,29.82,3.07,2.33,0,0,0,0.56,0,0,0,0,0,15.68,0,0.37,2.56,0,0.83
 60-70,0,0,0,0,0,17.13,0,0,0,7.95,0.61,0,0,0,0,0,0,1.05,20.94,0,1.56,26.03,0,0,0,0,1.22,0,0,0,0,0,0,4.6,0,0,1.54,0,3.56
 72-82,0,0,0,6.27,0,7.86,0,6.38,0,5.22,0,0,1.32,0.53,2.79,0,0,0,21.83,1.39,3.11,7.28,0,0,1.99,0,0,0,0,0,0,0,0,4.61,0,0,0.5,1.33,0
 84-94,0,0,0,4.24,0,3.5,0,0.61,6.2,18.19,0,0,0,0,0,0,0,0,31.44,5.75,1.1,22.81,0,0,0.89,0,0,3.94,0,0,0,0,0,0,0,1.17,2.85,0,0
 96-106,0,0,0,4.01,6.87,11.9,0,0,0.76,9.26,0,0,0,0.98,0.63,2.24,0,0,9.03,9.4,1.99,6.39,0,0,1.22,0,0,1.92,0,0,0,0,0,0,0,0,1.22,0.82,0
108-118,0,0,0.49,7.69,0,11.46,0.46,0.43,2.38,12.04,0.88,0,0,0,2.19,0,0,0,18.24,0,1.5,14.62,0,0,0.44,0,1.31,3.38,0,0,0,0,0,0,1.02,0,9.06,0,4.11
120,0,0,0,0,0,0,0,0,2.94,23.65,0,0,0,0,0,1.62,0,0,11.92,2.18,0,17.72,7.63,0,0,0,0,1.03,0,0,0,0,0,0,0,0,25.67,3.77,0
