stage,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,neural,otic,paraxial.mesoderm,periderm,spinal.cord,taste
  5-6,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4,0,0,0,0,20.26,0,0,0,0,0
 10-12,8.35,0,0,0,0,0,0,0,0,0,0,79.37,0,8.87,0,0,0
 14-21,0,1.99,1.18,0,1.21,1.07,5.07,0,0,0,0,3.66,0,0,1.31,1.08,0
 24-34,0,1.23,0,0,0,0,0.67,0.66,0.96,0.77,0,2.52,0,0,10.19,0.65,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,15.56,0,0
 48-58,0,0,0.52,0,0,0,0,3.44,0,0,0,0,0,0,2.73,0.77,0
 60-70,0,4.73,0,0,0,0,9.59,0,1.87,0,0,1.21,0,0,1.85,0,0.84
 72-82,0,1.53,0,0,0,0,0,0,0,0,0,5.93,2.03,0,3.26,0,0
 84-94,0,2.03,0,0,0,0,0,1.75,0,0,0.63,0,0.83,0,6.53,0,0
 96-106,0,0.76,0,0,0,0.7,0,0.81,0,0,0,1.23,0.59,0,6.99,0,2.26
108-118,0,7.35,0,1.12,0,2.2,0,0,0,0,3.91,1.74,1.07,0,4.56,0,0
120,0,5.42,0,1.13,0,0,0,1.29,0,0,0,0,1.76,0,0,0,1.27
