stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,slow_muscle,spinal_cord,xanthophores
  5-6,8.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.9,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,30.66,0,0,0,0
 36-46,0,0,1.85,0,0,0,0,0,0,0,114.91,0,0,0.63,0
 48-58,0,0,5.22,0,0,0,0,0,0,0,120.71,0,0,0,0
 60-70,0,0,2.94,0,0.57,0,0,0,0,0,189.32,0,1.01,0,0
 72-82,0,0,2.66,0,1.34,0,0,0,0,0,265.43,0,0,1.42,7.96
 84-94,0,1.78,6.59,1.51,2.92,0,0.67,3.45,1.54,1.54,198.13,0,0,0,0
 96-106,0,0,3.64,1.65,7.68,0,0,0,5.63,0,162.25,0,0,1.37,0
108-118,0,3.79,6.36,0,0,0.44,0,0,5.17,0,265.48,0,0,7,0
120,0,0,8.06,0,8.22,0,0,0,0,0,474.15,3.03,0,0,0
