stage,epidermis,eye,fin.mesenchyme,glial,immune,iridophores,lateral.line,mesenchyme,neural,otic,periderm,spinal.cord
 24-34,0.6,0.61,0,0,0,0,0,0,0,10.26,0,0
 36-46,0,0,0,0,0,0,0.6,0,2.94,18.49,0,0
 48-58,1.56,0,0,0,0,0,0.79,1.86,5.39,8.87,0,0.9
 60-70,0.9,0.98,0,4.49,0,0,0.97,0,33.17,8.61,0,2.62
 72-82,0,0,0.71,1.36,0,0,13.02,0.87,17.19,18.53,0,0
 84-94,0,1.15,0,0,0,0,14.48,0,13.05,35.54,0,0
 96-106,0.62,0,0,0,0.86,0,21.63,0,15.34,41.87,0,0
108-118,0,2.56,0,0,0,0.42,23.49,0,9.83,39.52,2.79,0
120,0,9.16,0,10.32,0,0,31.55,0,28.08,50.5,0,0
