stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,31.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,146.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,17.41,0,0,8.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.64,3.26,0,0,23.86,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,20.92,0,0,16.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.4,13.24,0,0,27.07,0,0,0,0,6.49,0,0,0,0,0,0,0
 14-21,0,0,4.3,1.36,2.32,0.82,0,2.75,0,0,0,0,0,0,0,0,8.3,0,0,0,46.72,0.89,0,1.38,1.04,0,0,0,0.86,0,4.03,9.51,0,0,1.2,0,0
 24-34,0,0,0,0,8.72,0,1.49,5.45,0,2.08,0,0.64,0,0.7,0,0,6.65,2.33,0,8.89,120.98,0.6,2.37,1.98,0,0,3.34,0,0,0.71,0,34.56,0,0,0.85,0,0
 36-46,0,0,4.59,0,30.06,0,0.63,12.22,0,0,0,0,0,0,0,0,17.73,0,8.55,3.17,221.2,0,1.62,1.01,0,0,0,0.81,0,0,0,89.26,0,0,0.81,0,0
 48-58,0,0,0,0,32.94,0,0,12.17,0,0,0,0,0,0,0,0,18.3,0,0.43,5.08,119.49,0,3.19,0,0,0.45,2.56,0,0,0,0,34.74,0,0,0,0,1.28
 60-70,0,0,0,0,108.31,0,2.64,15.66,0,0,0.6,7.06,0,0,1.06,0,27.86,0,0,0.77,144.44,0,0.74,3.17,0,0,2.11,0,0,0,0,45.31,0,0,0,0,0
 72-82,0,0,1.4,2.5,172.46,0,0.55,7.17,2.59,0,0,0,0,0,0,2.32,19.42,0,0,0.93,67.14,0,0.55,0.58,0,0,0,0,0,0,0,13.51,0,0.9,1.91,0.56,1.68
 84-94,0,0,2.84,0,163.49,0,0,4.23,0.62,1.01,0,0,0,0,0,0,23.63,0,0,1.56,42.91,0,0,4.18,0,0,5.86,0,0,0.64,0,7.25,0.6,0,2.77,0,0
 96-106,0,0,2.67,11.28,171.55,0,0,11.31,2.74,0,1.3,0,0,0,0,0,28.18,0,0,0,43.6,0,0,2.56,0,0,0,0,0,0,0,0,0.58,0,2.76,1.35,0.66
108-118,0,0,2.92,0,226.85,0,4.98,12.23,0.64,0,1.23,0,2.18,0,0,0.82,37.84,0,0,3.58,52.41,0,0.52,0.91,0,0,0.76,0,0,0,0,4.38,0,2.13,1.53,0,0
120,0,0,0,0,254.15,0,19.92,0,8.86,0,0,0,0,0,0,0,43.62,0,0,0,43.79,0,0,0,0,0,2.63,0,0,0,0,4.02,2.31,0,0,0,9.75
