stage,blastomeres,neural,paraxial.mesoderm,periderm
  3-4,31.67,0,0,0
  5-6,33.97,19.86,0,0
  7-9,0,28.23,8.36,0
 10-12,0,9.39,0,0
108-118,0,0,0,3.08
120,0,0,0,1.65
