stage,blastomeres,glial,neural,paraxial.mesoderm,presomitic.mesoderm,somites
  3-4,21.09,0,0,0,0,0
 10-12,0,0,0,9.34,0,0
 14-21,0,0,0,0,1.38,1.01
 48-58,0,0,1.24,0,0,0
 72-82,0,2.3,0,0,0,0
