stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,39.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.29,0,7.3,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.87,0,0,0,0,0,0,11.66,7.83,9.68,0,0,0,0,0
 14-21,0,3.37,0,0,0,0,0,3.21,0,0,1.82,0,0,0,0.8,0,0,0,0,0,0,0
 24-34,0,14.3,0,0,0,0,0,0,0,7.44,3.57,0,0,0.96,9.9,0,0,0.66,0.68,0,0,0
 36-46,0,6.02,0,3.05,0.58,0,0,0,0,0.6,2.34,0,0,0,7.37,0,0,0,0,0,0,0
 48-58,0,15.26,0,0.67,3.52,0.77,0,15.15,0,0.76,0.57,0.8,0,0.91,5.98,0,0,0,2.32,0,0,0
 60-70,0,15.29,0,23.53,0,0,0,0.74,0,4.75,3.64,0,0,0,5.54,0,0,0,0,1.21,0,0
 72-82,0,34.15,0,21,7.21,0,0,0,0,6.23,0.64,0.58,0,0,9.43,0,0,0.54,2.67,1.68,0,0
 84-94,0,36.66,0,9.74,12.26,1.68,3.62,2.81,0,8.53,0.66,0.87,0,0,2.99,0,0,9.79,0.73,1.39,0,0.84
 96-106,0,50.73,0,6.98,6.24,0,1.94,0,1.83,6.73,4.51,5.08,0,0,16.62,0,0,13.07,0,0,0,1.73
108-118,0,58.64,12.9,1.74,12.3,0,6.19,0,2.84,13.64,8.18,4.16,0,0,12.26,0,0,10.64,0,0,0,0
120,0,61.24,0,0,0,0,3.24,0,2.76,20.84,0,0,2.22,1.13,1.79,0,0,29.29,0,0,2.09,0
