stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.68,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.19,0,0,0,8.27,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.6,0,0,0,9.8,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,2.81,0,0,0,0,0,0.9,2.38,1.87,1.64,0,0,0,0
 24-34,0,0,4.3,0,0,2.24,0,0,0,0,0,0,0,0,0,0,5.32,4.16,0,2.66,9.15,0,0.94,0,0,7.75,0,0,1.28,13.77,0,1.57,0,2.35
 36-46,0,0,3.26,0,0,4.36,0,3.4,0,1.76,0,0,0,0,0,0,2.16,1.68,0,2.49,52.3,2.85,0,0,0,23.73,0,0,0,13.01,0,4.7,0,0
 48-58,0,0,0.81,0,0,14.16,0,0,0,3.67,0,0,0,0,0,0.51,10.29,0,0.4,3.48,65.62,0,1.29,0,0,21.39,0,0,0,8.86,0,0,0,0.56
 60-70,0,0,20.79,0,0,4.9,0,2.07,1.32,1.63,0,0,0,0,0,0,9.9,0.85,0,1.04,64.28,0,1.44,0,0,23.27,0.6,0,0,9.67,0,0,0,6.5
 72-82,0,0,3.53,0,0,14.89,0,0.55,0,1.67,0,1.83,0,0,0,0,16.71,6.68,0,0,63.69,0,0,0,0,11.37,0,0,0,1.62,0,0,0,0
 84-94,0,0,3.38,0,0,6.19,0,0,0,0,1.57,4.71,0,0,0,0,2.46,3.14,0.72,0.93,32.72,0,0,4.03,0,30.42,0,0,0,2.91,0.57,0,0.75,0
 96-106,0,0,11.17,0,0,6.6,0,0.66,0,5.16,1.5,0.56,0,0,0,0.67,6.25,1.22,0,0,43.56,0,0,0,0,60.26,0,0,0,0.64,0,7.28,3.99,0.86
108-118,0,0.52,22.5,4.33,0.75,13.69,0.55,2.07,0,4.35,2.87,0.61,1.07,1.91,0.52,0,16.54,0,0,1.15,50.37,0,2.74,0,0,37.51,0,0,0,0,0,2.99,0,7.8
120,0,0,13.13,3.48,0,25.24,0,2.74,0,0,0,16.37,0,0,3.99,0,0,0,0,0,57.9,1.57,0,0,0,38.18,0,0,0,20.99,5.08,0,0,4.33
