stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,534.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.71,161.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.93,0,5.43,0,0,40.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.76,8.74,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.27,0,0,10.86,0,0,0,0,9.92,0,0,0,0,0,0,0,0,0,267.2,5.47,0,0,32.95,0,0,5.47,0,0,0,0,0,0,0,0
 14-21,0,0,1.05,0,5.63,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.79,1.18,0,1.69,1.71,0,0,0,1.89,0.8,21.2,0,0,0,0,0
 24-34,0,0,0,0,1.29,1.53,7.63,0,0,0.68,0,0,0.62,0,0,0,0,5.42,0.63,0,1.66,219.08,0,3.17,1.94,0,0,0.66,0,0,0.68,49.63,0,0,1.01,0,0
 36-46,0,0,0,0,0.65,0,24.79,0.76,0,5.84,0,0,0,0,0,0,0,10.91,0,0,0.92,321.27,0,3.24,0.8,0,0,19.83,0,0,0,60.91,0,0,2.5,0,0
 48-58,0,0,0,0,0,0,87.18,0,7.18,17.18,0,0,0,0,0,0,1.35,14.65,0,0,0,491.03,0,7.56,0.64,0,0,3.59,0,0,0,69.75,0,0,0,0,0
 60-70,0,0,0,0,1.47,0,190.78,0,1.62,23.33,0,0,1.26,0,0,0,0,19.84,0,0,0,597.28,0,4.77,5.07,0,0,0.82,0,0,0,69.59,0,0,0.93,0,4.87
 72-82,0,0,0,0,4.66,0.55,289.05,0,0,35.89,3.11,0,1.98,0,0,0,0,28.28,0,5.49,0.73,695.72,0,7.56,3.53,0,0,0.56,0,0,0,57.39,4.05,0.49,6.27,0,10.61
 84-94,0,0,1.14,0,1.65,2.9,184.07,0,0,24.25,2.41,0,3.05,0.67,0,0,0,11.81,0.92,0,2.08,413.43,0.91,8.74,7.66,0,0,4.94,0,0,0,88.74,0,0,1.69,0,0
 96-106,0,0,0.81,0,5.79,0,180.36,4.56,0.85,30.53,4.26,0,0,0,1.02,13.43,0,22.37,0,1.49,1.64,438.57,0,2.04,2.64,0,2.5,0.86,0,1.03,0,14.67,5.62,0,1.66,0,0
108-118,0,0,0,0,4.9,0,215.13,0.58,0,36.22,0.5,0,5.42,0,0.7,0,0.54,37.39,0,1.4,0.75,497.9,0.54,4.1,12.4,0,0,2.44,0,0,0,47.09,0,0,1.24,5.82,0
120,0,0,0,0,12.09,2.14,174.31,1.16,0,109.73,0,0,6.47,0,0,1.5,0,38.15,0,0,5.52,988.42,3.89,21.1,3.1,0,0,1.14,0,0,0,36.81,0,0,1.25,0,0
