stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,36.96,365.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,0,0,0,0
  5-6,23.39,551.03,0,0,0,0,0,0,0,0,0,0,0,0,42.58,0,0,0,0,0,0,0,0,0
  7-9,5.34,5.67,3.32,0,0,14.41,0,0,0,0,0,0,0,0,74.1,12.33,0,20.41,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.92,0,0,4.93,0,0,0,0,0,0
 14-21,0,0,0,0.87,0,0.99,0,0,0,0,0,2.8,0,0,14.66,0,0,0.89,0,0,10.85,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.9,0,0,2.03,0,0,56.12,0,0,0,0,0,5.75,0,0,0
 36-46,0,0,0,0,0,2.4,0,0,1.45,0,0,0,0,0,77.71,0,0,0,0,0,27.38,0,0,0
 48-58,0,0,0,0,0,11.88,1.02,0,4.29,0,0,1.2,0,0,175.82,6.04,0,0,0,0.38,17.98,1.28,0,0
 60-70,0,0,0,0,0,28.73,0,0,1.53,0,0,9.56,0.71,0,330.11,0,0,0,0,0,18.78,0,0,0
 72-82,0,0,0,1.25,0,45.21,0,0.79,13.31,0,0,3.5,1.11,0.56,402.65,0,0,0,2.36,0,14.14,0.93,0,0.75
 84-94,0,0,0,1.39,0,35.89,0,0,3.52,0,0,2.85,4.57,0,209.22,4.96,0,0,0,0,31.31,1.98,0,0
 96-106,0,0,0,0,0,38.68,0,0,0.82,0,0,5.25,2.44,0,245.65,0.62,0.57,0,0,0,1.71,0,0.78,0
108-118,0,0,0,2.28,0.46,39.1,0,2.36,4.86,0.43,0.58,2.54,0,0,317.12,0.45,0,0,4.1,0.56,7.94,0,0,1.28
120,0,0,0,2.81,0,83.96,0,0,4.38,0,0,2.14,0,0,414.71,0,0,0,0,0,3.29,0,0,0
