stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,lateral_line,melanocytes,mesenchyme,mural_cell,neural,olfactory,otic,pgc,pronephros,spinal_cord,vasculature
  3-4,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.82,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,0,0,0,0
  7-9,0,3.3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.05,0,0,3.78,0,0,0
 14-21,0,0,0.84,0,0,0,2.09,0,0,0,0,0,3.37,0,0,0,1.13,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.62,2.41,0,1.64,0,0,0,0,3.11,0
 36-46,0,0,0,0.67,0,0,0,0,0,0,0,0,4.43,0,0,0,3.56,0,0
 48-58,0,0,0,0,0,0,0,0,0.4,0,0,0,16.57,1.18,0,0,7.59,0.54,0
 60-70,0,0,0,2.43,0,0,1.17,0.58,0,0,1.01,0,1.06,0.67,0,0,0,4.58,0
 72-82,0,0,0,0,6.51,0,1.98,0,0,0,1.78,0,2.73,5.72,0,0,0,3.35,0
 84-94,0,0,0,0,0,0,1.19,0,0,0,4.44,2.23,1.08,1.53,0,0,0,0,0
 96-106,0,0,0,5.89,0,0,0,0,0,0,0,0,1.9,1.29,1.03,0,0,0,0.74
108-118,0,0,0,0,0,0,0,0,0.45,0,0,0,2.36,3.93,0,0,0,7.14,0
120,0,0,1.69,0,0,2.6,0,0,0,0,0,0,9.26,9.84,0,0,0,1.34,0
