stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,357.55,5978.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362.2,0,0,0,0,0,0
  5-6,341.01,5158.3,0,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.95,7.94,0,0,38.22,50.6,0,0,0,0,0,0
  7-9,43.62,65.34,0,21.95,0,0,0,22.35,0,0,0,0,0,10.21,0,0,0,0,0,0,0,0,0,0,601.64,47.5,0,0,156.31,0,50.98,0,0,0,0,0
 10-12,0,0,0,8.97,0,0,0,14.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.43,28.92,0,0,27.86,3.3,19.94,0,0,0,0,0
 14-21,0,0,0,4.54,393.93,3.18,0,0,0,1,0,0,4.07,0,0.96,0,9.57,0,0,1.15,0,1.25,0,0.98,25.69,0,0.86,3.33,0,69.17,2.09,1.14,4.86,0,0,0
 24-34,0,0,0,2.52,301.88,0.66,0,2.95,0,14.73,0,0,2.02,0,0,0,14.24,0,4.51,0,2.54,6.72,0,2.51,61.45,0,6.15,2.55,0,334.63,0,2.51,6.24,0,0,1.71
 36-46,0,0,0,0,236.59,0,0,5.2,0.67,65.89,0,0.7,0,0,0,0,8.83,0,0.57,0,1.34,1.4,0,0,65.04,0,10.72,3.39,0,391.57,0.81,4.21,3.22,0,0,0
 48-58,0,0,0,0.57,151.89,0,0,2.83,0,60.9,0.4,0.75,3.25,2.28,0,0,7.39,0,1.9,1.87,6.21,3.07,0,0,30.58,0,8.27,1.33,0,155.9,0,0.47,0,0,0,0
 60-70,0,0,1.23,2.79,129.53,0,0,7.46,0,55.79,0,0,8.02,0,0,0,11.71,0,1.02,0,0.82,8.82,0,0,31.63,0,11.99,1.45,0,156.67,0,0.59,1.52,1.42,0,0
 72-82,0,0,3.79,0,105.17,0,0,2.69,0,45.73,1.76,2.44,13.2,0,0,0.55,2.95,0,4.26,3.74,2.46,3.04,0,0,34.1,0,18.39,0.49,0,113.79,0,3.73,0,7.94,1,0
 84-94,0,0,1.14,0,189.77,0,0.87,0.85,0,70.49,0,0,9.37,0,0,0,7.58,8.85,3.58,0,2.31,3.5,0,1.1,13.57,0,2.57,0,0,251.42,0,3.76,7.81,7.5,0,0
 96-106,0,0,2.08,0,196.92,1.21,1.07,10.06,0,62.79,0,3.69,16.89,0,0,0.56,5.87,0,1.9,2.27,7.01,19.72,0,0.79,49.21,0,25.46,5.25,0,216.68,0,0,0,11.91,2.97,0
108-118,0,0,0.76,0,314.7,0,0,5.48,0,102.94,0.65,0.79,24.88,0,0,0.9,10.1,0,2.8,3.51,2.37,13.05,2.15,0,10.67,0,6.77,2.1,0,178.55,0,0.55,0,8.9,0,0
120,0,0,0,1.66,352.57,0,0,13.09,0,67.24,0,0,23.04,0,0,0,18.43,6.33,5.91,5.44,3.35,1.49,0,3.83,87.5,0,16.06,14.83,0,142.95,0,0,0,18.76,0,0
