stage,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.48,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.73,0,0,0,0
  7-9,5.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11,4.15,0,0,0,0
 14-21,0,6.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.06,0,0,0,0
 24-34,0.81,28.24,0,0,0,0,0.63,0,1.86,0,0.96,0,0,0.63,0,5.97,0.66,0.76,0,0,69.94,0,0,0,0
 36-46,0,9.82,0,0,3.6,0,0,0,0,0,0,0,0,0,0,2.63,3.39,0,0,0,144.67,1.2,0,0,0
 48-58,0,25.58,0.48,0,0.41,0,0,0,0,0,0,0,0,1.11,0.71,6.31,0,0,0,0,95.77,2.4,0,0,4.75
 60-70,0,28.36,1.44,0,0.82,1.09,0,0,1.02,1.63,1.02,0,0,2.2,0,2.91,1.93,1.42,0,0,154.24,0,0,0,0
 72-82,0,21.77,0,0,3.55,11.8,1.35,0,5.01,0,0.68,0.68,4.14,1.11,0,1.86,4.95,1.07,0,0,118.55,0,0,0.53,1.88
 84-94,0,30.84,2.36,0,2.36,5.28,0,0.64,1.81,1.97,1.52,0,2.86,5.17,0,11.67,7.03,0.9,0,0,276.81,0,0.66,0,0
 96-106,0,36.88,0.62,0,7.39,8.78,1.19,0,8.76,1.9,3.38,0,7.65,19.72,0,14.28,2.78,0.57,0.57,0,456.62,0,0,0,0
108-118,0,33.53,0,0.76,5.65,12.86,0,0,2.3,1.16,2.71,0,0,2.25,0,6.44,3.68,3.39,0,0,232.37,0,0.55,3.15,11.07
120,0,41.05,0,0,7.97,0,0,0,8.7,0,0,0,3.96,3.25,0,12.23,1.57,1.57,0,0,163.03,0,0,9.46,0
