stage,blastomeres,endocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,heart,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,7,2.36,0.91,0,0.83,1.92,0,0,0,0
 24-34,0,0.67,0,0,0,0,0,0.95,0,24.26,0,0,0,0,8.64,0,0,0,0
 36-46,0,0,1.51,0,0,1.64,0.68,0.81,0.7,41.94,0,0,1.44,0,7.49,0,0,0,0
 48-58,0,0,3.96,0,0.4,1.74,0,4.26,0,23.28,0,0,0,0,11.04,0,0,0,0
 60-70,0,0,25.87,0,0,0,0,7.31,0,25.46,7.86,0,0,0,8.13,0,0,0,0
 72-82,0,0,24.97,0,0,3.2,0,3.11,1.24,40.13,0.81,0,0,0,5.74,0,0,0.64,3.06
 84-94,0,0,14.45,0,0,0.95,0,2.92,0.95,36.07,0,0,0,0,0,0.64,0.6,1.23,3.41
 96-106,0,0,3.92,10.44,0,0,0,4.39,1.29,37.3,0,0,0,0,0,0,1.31,0,0
108-118,0,0,16.12,0,0,0.91,0,8.84,0,31.91,0,0,0,0,0,0,2.06,0,3.99
120,0,0,21.44,0,0,9.92,0,4.06,0,20.82,0,0,0,0,0,0,0,0,0
