stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,88.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.23,0,0,0,0,0,0,0,0,0,0,0,0,0,16.04,0,0,5,3.03,0,0,0,0,0
 14-21,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,1.7,13.74,0,0.82,0,0,2.13,1.75,4.15,0,0
 24-34,0,0,0,0.65,0,0,0,0.78,0,0,0,0,0,2.47,0,3.02,12.79,0,0,0,0,0,0,3.32,0,0
 36-46,0,0,0,0,0,0,0,1.57,0,0,0,0,0,1.45,0,0,8.13,0.87,0,0,0,0,0,1.42,0,0
 48-58,0,0,0,0,0,0.94,0.41,2.4,0,0,0,0,0,4.11,0,1.19,1.61,0,0,0,0,0,0,2.39,0,0
 60-70,0,0,0,1.63,0,0,0,0,0,0,0,0,0,8.42,0,0,4.41,0,0,0,0,0,0,0,0,1.83
 72-82,0,0,0,0.8,0,1.45,0.58,3.67,0,0,0,0,0,7.46,0,1.42,6.35,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,3.15,0.82,0.7,3.27,0,0,1.57,0,0,15,1.89,3.3,4.64,2.17,0,0,0,0,0,0,0,6.47
 96-106,1.12,0,0,0,0,2.46,0,0.72,0.88,0,0,0.7,0,26.07,4.42,0,0,0,0,0,0,0,0,0,0,0.58
108-118,0,0,0,0.57,0,0.54,0,1.59,0,1.86,0,0,1.79,18.16,0,1.49,7.52,0,0,0,0,0,0,0,0.57,0
120,0,0,0,5.4,4.74,0,0,3.65,0,0,0,0,0,1.34,0,2,0,0,3.56,0,0,0,0,0,0,0
