stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,57.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,71.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,8.81,0,0,0,0,0,0,0,0,0,0,0,4.16,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,22.84,0,0,0,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.67,7.55,0,0,26.66,0,0,5.33,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,9.57,237.23,17.43,0,12.64,0,2.11,0,0,0,0,6.42,0,0,0,0,0,0,32.59,0,0,24.74,138.1,23.49,0,0.81,4.68,0,3.19,0,5.77,5.11,0.81,6.81,124.53,0,0,7.21,0,0
 24-34,0,0,2.98,367.27,2.57,0,49.76,6.96,17.5,1.69,14.36,0,0,26.95,0,0.68,0,2.05,0.61,0,175.63,1.86,3.1,114.37,915.32,19.95,5.19,6.13,0,0.99,23.34,0,0,2.34,14.79,6.23,330.86,0,0,12.76,0,0
 36-46,0,0,0,288.7,0.81,0,97.8,13.31,66.87,2.78,10.42,0,0,26.1,0,0,0,2.68,2.04,1.51,281.97,5.89,10.67,118.93,2280.11,10.15,3.96,6.36,0,0.97,101.31,0,0,0,46.78,0.69,354.77,0,0,4.48,0,1.19
 48-58,0,0.46,1.29,259.34,0,0,373.86,20.93,58.76,8.59,57.61,0,0,15.98,0.48,4.82,7.02,2.74,8.41,8.55,412.91,4.8,25.48,143.35,4136.58,27.07,4.24,8.26,0,0.64,89.72,0,0,0.42,35.66,0,350.65,0,0.89,1.94,0,9.84
 60-70,0,0,0,170.77,3.43,0,1950.34,41.51,92.2,3.65,82.25,1.11,2.85,28.43,1.31,1.91,19.25,7.88,4.19,6.38,670.73,1.53,14.73,92,6410.69,11.93,0.89,25.65,0,2.37,83.6,0,0,0,36.9,0,527.36,15.43,24.12,16.54,0,8.56
 72-82,0,0,0.51,153.1,20.46,0,3350.81,41.03,38.68,17.32,168.45,7.33,1.08,6.19,5.25,1.73,1.78,3.24,23.28,0,1290.62,1.14,40.29,91.84,7386.5,7.87,4.26,35.55,0,2.81,121.02,0,0,1.79,10.99,0,599.05,71.86,31.95,22.51,11.36,17.83
 84-94,0,2.56,1.01,195.93,38.05,0,1967.12,22.76,76.68,8.46,176.42,12.87,0.66,7.77,2.33,9.29,6.4,7.01,86.89,0.95,1055.38,2.64,78.57,59.32,4961.35,17.71,1.04,40.06,0,0.77,139.96,0,0,19.47,6.02,0,393.41,131.15,37.74,3.56,7,2.74
 96-106,0,1.08,1.78,227.75,42.83,3.97,2215.13,52.53,66.98,5.38,217.59,22.53,1.06,13.82,10.16,3.67,2.48,15.48,207.12,0,1106.84,6.15,43.75,74.36,5100.2,8.31,8.55,43.1,22.53,4.56,151.93,0,0,11.05,11.63,0,212.84,121.46,36.51,7.58,22.1,19.5
108-118,0,3.66,2.61,243.78,10.98,23.51,2027.22,42.36,108.93,11.37,133.38,6.97,0,8.11,10.82,15.11,1.03,6.69,445.48,4.99,1447,6.84,49.37,92.02,5000.62,7.15,5.71,53.19,0,5.78,135.44,0,0,11.32,12.1,0,204.78,143.28,67.4,8.49,12.47,15.73
120,0,10.46,0,301.7,12.05,2.82,1895.59,66.28,111.76,25.83,285.78,15.08,0,2.95,3.53,1.05,16.16,5.06,235.52,7.72,1542.4,3.35,55.9,91.75,7464.79,8.01,20.45,67.81,0,17.8,61.55,0,0,12.38,11.11,0,195.15,57.69,63.03,19.56,11.47,0
