stage,axial,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,21.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,15.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.02,0,0,0,0,0,2.15,0,0.87,5.86,0,0,0,0,0,4.28,0,1.01,0
 24-34,0,0,0,1.86,0,0,0,0,0,0,0,0.69,0.66,0.61,31.62,0,1.46,0,5.46,0,4.86,0,0,0
 36-46,0,0,0.64,3.64,0,0,0,0,0,0,0,2.28,0,0,67.16,0,0,0,1.02,0,4.85,0,0,0
 48-58,0,0,0,6.36,0,0,0,0,0,0,0,2.72,0,0,52.1,0,0.88,0,0,0,6.09,0,0,0
 60-70,0,0,7.14,16.68,0,5.24,0,0,0,0,1.22,6.49,0,1.48,52.4,0,0,0.65,0,0.59,15.91,0,0,0
 72-82,0,0,2.42,28.55,0,2.46,0,0,0,0,0,10.37,0,1.1,42.68,0,0,0.75,0,0.55,11.18,1.68,0,0
 84-94,0,0,0.74,17.96,0,0.61,0.68,1.22,1.95,0,0,9.95,0,0,30.49,0.56,0,1.22,0.72,0,9.03,0.67,0,0.82
 96-106,0,0,2.84,12.12,2.29,3.28,0,0,2.41,0.75,0,9,0,1.93,41.46,0,0,0,1.25,0,0,4.64,0,0
108-118,0,0,36.21,18.78,0,1.15,24.1,0,0,0,0,15.78,0,1.51,26.51,0,0,0.44,6.07,0,3.42,9.66,0,0
120,0,0,15.29,18.15,0,0,1.36,70.64,2.67,0,0,9.67,0,1.32,64.41,0,0,0,2.5,0,0,1.87,2.97,0
