stage,blastomeres,endoderm,epidermis,eye,hatching_gland,lateral_line,mesenchyme,neural,paraxial_mesoderm,spinal_cord
  3-4,47.49,0,0,0,0,0,0,0,0,0
  5-6,53.88,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,8.6,0,0,25.07,8.62,0
 10-12,0,0,0,0,0,0,0,25.82,4.22,0
 14-21,0,2.41,0,0,0,0,0,1.31,0,0
 24-34,0,0,0,1.66,0,0,2.78,2.08,0,1.04
 36-46,0,0,0,2.73,0,0,0,13.86,0,0
 48-58,0,0,0,0,0,0,0,1.32,0,0
 60-70,0,0,0,0.57,0,0,0,1.85,0,0
 72-82,0,0,0,0,0,0,1.26,0,0,0
 84-94,0,0,1.62,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0,0.87,0,0,0,0
120,0,0,0,1.28,0,0,0,13.4,0,0
