stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,9.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.55,0,0,0,0,0,0,0,0,0,0
  5-6,10.91,25.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.16,6.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.68,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,21.75,3.86,4.87,0.84,0,1.01,0,0,0,11.58,0,1.07,0,0,0,0,0,0,2.47,0,0,2.6,40.13,3.11,0,0,3.82,0,0,0,0,0,0.85,99.99,0,0,0,0,0
 24-34,0,0,41.46,0,11.5,0,0,0,0,0,0,35.62,0,0,0,0,0,0,11.97,0,8.3,0,0,1.53,190.44,1.52,1.95,1.09,0,0,0,0,0.6,0,0,360.8,0,0,0,0,0
 36-46,0,0,10.46,0,4.76,1.05,0,6.15,2.61,0,0.61,14.62,0,0,0,0,0,0,0,4.54,4.56,0,0,1.16,128.31,0,0.95,0,0,0,0,0,1.44,0,0,234.93,0,0,0,0,0
 48-58,0,0,12.99,0,0.4,0,0,17.38,0,0,0.76,5.81,0,0,0,0,0,0,0,0,8.1,1.35,0,0,153.43,0,0.91,0,0,0,0,0,0.38,0,0,171.34,0,0.74,0,0,3.29
 60-70,0,0,45.9,0,1.06,0,0,85.66,0,0,0,24.22,8.89,4.84,2.24,0,0,0,0,0,13.81,0,0,3,101.8,0,8.68,0,0,0,0,0,1.86,0,0,86.14,0,1.17,0,0,16.35
 72-82,0,0,77.56,0,2.56,0,0,147.07,0,0,4.76,21.34,24.45,3.56,0,0,0,0.62,0,0,11.47,0,0,0.51,140.34,0,0.74,0.78,0,0,0.95,0,2.73,0,0,54.87,0,1.84,0,2.29,17.32
 84-94,0,0,106.29,1.01,3.97,0,0,89.08,1.93,0,0,16.62,39.8,7.91,0,2.89,1,0.87,0,1.55,7.25,0,0,3.26,63.23,0,1.94,1.36,0,0,0.55,0,0.75,0,0,35.78,0,3.64,0,0,13.44
 96-106,0,0,198.17,0,12.78,0,1.05,38.41,0.64,1.58,0,33.36,100.43,15.81,0,0.63,0,0,0,0,34.65,0,0,0,135.78,0,3.17,1.43,0,0,2.94,0.76,0,0,0,78.16,0,4.11,11.41,5.6,9.07
108-118,0,0,145.35,0.49,5.48,0,3.55,102.29,1.76,1.34,0.43,46.61,89.04,8.04,1.85,1.38,0,1.74,0,0,9.82,1.29,2.05,2.5,169.23,0,1.38,1.35,0,1.6,0,0,0,0.42,0,51.25,2.17,8.18,0.43,4.04,21.81
120,0,0,89.84,0,1.02,0,0,112.37,0,1.76,2.1,29.99,86.58,14.03,0,1.48,3.57,0,21.24,0,17.86,0,0,0,230.17,0,0,0,0,0,0,0,0,0,0,75.99,0,1.66,0,0,2.85
